,86
800,86
801,87
802,88
803,89
804,89
805,86
806,83
807,83
808,86
809,90
810,92
811,90
812,86
813,82
814,82
815,86
816,89
817,91
818,90
819,87
820,85
821,83
822,85
823,88
824,90
825,89
826,86
827,84
828,84
829,87
830,90
831,91
832,90
833,87
834,84
835,83
836,84
837,87
838,89
839,90
840,89
841,87
842,85
843,86
844,88
845,89
846,88
847,87
848,86
849,86
850,87
851,88
852,89
853,89
854,87
855,86
856,86
857,85
858,86
859,87
860,87
861,87
862,87
863,87
864,87
865,87
866,87
867,86
868,87
869,87
870,88
871,88
872,88
873,88
874,87
875,87
876,87
877,87
878,87
879,86
880,87
881,87
882,87
883,87
884,87
885,87
886,87
887,87
888,86
889,86
890,86
891,86
892,87
893,88
894,88
895,88
896,87
897,87
898,87
899,87
900,87
901,88
902,87
903,87
904,87
905,87
906,87
907,87
908,87
909,87
910,87
911,87
912,87
913,87
914,87
915,87
916,87
917,88
918,87
919,87
920,87
921,87
922,87
923,87
924,87
925,88
926,87
927,87
928,87
929,86
930,87
931,87
932,87
933,87
934,87
935,87
936,87
937,87
938,87
939,87
940,88
941,88
942,86
943,87
944,87
945,87
946,88
947,88
948,88
949,87
950,87
951,86
952,87
953,87
954,87
955,88
956,88
957,87
958,87
959,87
960,87
961,88
962,87
963,87
964,86
965,86
966,86
967,87
968,88
969,88
970,88
971,87
972,86
973,87
974,87
975,88
976,88
977,87
978,87
979,87
980,86
981,87
982,88
983,88
984,87
985,87
986,87
987,87
988,87
989,87
990,87
991,87
992,87
993,87
994,87
995,87
996,87
997,87
998,87
999,87
1000,87
1001,88
1002,88
1003,87
1004,87
1005,87
1006,87
1007,87
1008,88
1009,88
1010,88
1011,88
1012,87
1013,87
1014,87
1015,87
1016,87
1017,87
1018,87
1019,87
1020,87
1021,87
1022,88
1023,87
1024,87
1025,87
1026,86
1027,87
1028,87
1029,88
1030,88
1031,88
1032,88
1033,88
1034,87
1035,87
1036,88
1037,88
1038,87
1039,87
1040,87
1041,87
1042,87
1043,87
1044,88
1045,88
1046,87
1047,87
1048,87
1049,87
1050,87
1051,87
1052,88
1053,88
1054,87
1055,87
1056,86
1057,86
1058,87
1059,87
1060,87
1061,87
1062,87
1063,87
1064,87
1065,88
1066,88
1067,88
1068,88
1069,87
1070,88
1071,89
1072,89
1073,89
1074,89
1075,88
1076,88
1077,87
1078,88
1079,88
1080,88
1081,89
1082,88
1083,87
1084,87
1085,87
1086,87
1087,87
1088,87
1089,87
1090,87
1091,87
1092,87
1093,87
1094,86
1095,86
1096,86
1097,86
1098,87
1099,87
1100,88
1101,88
1102,87
1103,87
1104,87
1105,87
1106,88
1107,88
1108,89
1109,89
1110,88
1111,88
1112,88
1113,89
1114,89
1115,89
1116,90
1117,89
1118,89
1119,88
1120,88
1121,87
1122,87
1123,87
1124,88
1125,88
1126,88
1127,87
1128,86
1129,86
1130,86
1131,86
1132,86
1133,87
1134,87
1135,87
1136,87
1137,86
1138,86
1139,87
1140,86
1141,85
1142,87
1143,88
1144,88
1145,89
1146,91
1147,88
1148,87
1149,88
1150,89
1151,89
1152,89
1153,89
1154,89
1155,90
1156,89
1157,89
1158,90
1159,91
1160,90
1161,89
1162,88
1163,88
1164,89
1165,90
1166,91
1167,92
1168,91
1169,90
1170,88
1171,82
1172,80
1173,82
1174,80
1175,84
1176,79
1177,75
1178,82
1179,88
1180,90
1181,87
1182,82
1183,74
1184,71
1185,74
1186,79
1187,78
1188,80
1189,78
1190,72
1191,72
1192,71
1193,76
1194,79
1195,81
1196,83
1197,80
1198,77
1199,80
1200,84
1201,86
1202,85
1203,83
1204,80
1205,79
1206,80
1207,80
1208,79
1209,77
1210,76
1211,76
1212,74
1213,74
1214,75
1215,78
1216,80
1217,81
1218,81
1219,82
1220,83
1221,84
1222,84
1223,84
1224,83
1225,83
1226,82
1227,80
1228,78
1229,74
1230,71
1231,69
1232,68
1233,71
1234,74
1235,77
1236,77
1237,77
1238,82
1239,87
1240,89
1241,89
1242,86
1243,85
1244,84
1245,82
1246,80
1247,79
1248,78
1249,77
1250,75
1251,75
1252,73
1253,72
1254,75
1255,78
1256,78
1257,76
1258,73
1259,73
1260,74
1261,73
1262,72
1263,70
1264,70
1265,71
1266,72
1267,72
1268,74
1269,77
1270,81
1271,87
1272,95
1273,105
1274,113
1275,118
1276,121
1277,125
1278,127
1279,129
1280,130
1281,129
1282,121
1283,109
1284,109
1285,121
1286,128
1287,133
1288,136
1289,133
1290,126
1291,127
1292,134
1293,139
1294,142
1295,143
1296,140
1297,132
1298,122
1299,113
1300,103
1301,93
1302,86
1303,85
1304,81
1305,76
1306,73
1307,71
1308,70
1309,67
1310,69
1311,73
1312,77
1313,83
1314,90
1315,91
1316,98
1317,97
1318,95
1319,88
1320,88
1321,88
1322,86
1323,83
1324,79
1325,77
1326,75
1327,74
1328,74
1329,73
1330,73
1331,74
1332,74
1333,76
1334,79
1335,81
1336,85
1337,86
1338,87
1339,87
1340,88
1341,88
1342,86
1343,81
1344,77
1345,72
1346,69
1347,66
1348,64
1349,63
1350,63
1351,63
1352,66
1353,123
1354,142
1355,202
1356,196
1357,202
1358,198
1359,218
1360,287
1361,238
1362,161
1363,107
1364,107
1365,100
1366,122
1367,129
1368,144
1369,124
1370,104
1371,100
1372,95
1373,86
1374,90
1375,96
1376,120
1377,149
1378,171
1379,227
1380,294
1381,343
1382,366
1383,358
1384,340
1385,303
1386,217
1387,144
1388,135
1389,121
1390,93
1391,100
1392,102
1393,106
1394,100
1395,91
1396,86
1397,82
1398,88
1399,108
1400,133
1401,162
1402,231
1403,298
1404,339
1405,364
1406,362
1407,333
1408,295
1409,245
1410,176
1411,131
1412,114
1413,97
1414,90
1415,91
1416,97
1417,95
1418,83
1419,75
1420,79
1421,86
1422,94
1423,108
1424,131
1425,153
1426,205
1427,242
1428,267
1429,270
1430,244
1431,214
1432,184
1433,143
1434,123
1435,113
1436,102
1437,90
1438,84
1439,81
1440,77
1441,74
1442,72
1443,74
1444,78
1445,87
1446,100
1447,120
1448,140
1449,170
1450,199
1451,215
1452,218
1453,208
1454,185
1455,155
1456,137
1457,125
1458,114
1459,102
1460,97
1461,90
1462,83
1463,80
1464,80
1465,81
1466,82
1467,86
1468,93
1469,104
1470,116
1471,128
1472,142
1473,157
1474,170
1475,175
1476,171
1477,157
1478,141
1479,129
1480,123
1481,115
1482,105
1483,98
