,317
1163,317
1173,317
1184,317
1195,317
1205,317
1215,317
1225,317
1235,317
1247,317
1257,317
1267,317
1277,317
1288,317
1298,317
1309,317
1319,317
1330,317
1340,317
1350,317
1360,317
1372,317
1382,317
1392,317
1402,317
1413,317
1424,317
1434,317
1444,317
1455,317
1465,317
1475,317
1486,317
1497,317
1507,317
1517,317
1527,317
1538,317
1549,317
1559,317
1569,317
1580,317
1590,317
1601,317
1611,317
1622,317
1632,317
1642,317
1652,317
1664,317
1674,317
1684,317
1694,317
1704,317
1715,317
1726,317
1736,317
1746,317
1757,317
1767,317
1778,317
1788,317
1799,317
1809,317
1819,317
1829,317
1841,317
1851,317
1861,317
1871,317
1882,317
1892,317
1903,317
1913,317
1924,317
1934,317
1944,317
1955,317
1966,317
1976,317
1986,317
1996,317
2007,317
2018,317
2028,317
2038,317
2049,317
2059,317
2069,317
2080,317
2091,317
2101,317
2111,317
2121,317
2131,317
2143,317
2153,317
2163,317
2173,317
2184,317
2195,317
2205,317
2215,317
2226,317
2236,317
2246,317
2257,317
2268,317
2278,317
2288,317
2298,317
2309,317
2320,317
2330,317
2340,317
2351,317
2361,317
2372,317
2382,317
2393,317
2403,317
2413,317
2423,317
2435,317
2445,317
2455,318
2465,318
2476,317
2486,317
2497,317
2507,317
2518,317
2528,317
2538,317
2549,317
2560,317
2570,317
2580,317
2590,318
2600,317
2612,317
2622,318
2632,317
2642,317
2653,317
2663,317
2674,317
2684,317
2695,317
2705,318
2715,318
2726,317
2737,317
2747,317
2757,317
2767,317
2778,317
2789,318
2799,318
2809,317
2820,317
2830,317
2840,318
2851,317
2862,317
2872,317
2882,317
2892,317
2903,317
2914,318
2924,318
2934,317
2945,317
2955,317
2966,317
2976,317
2987,317
2997,318
3007,317
3017,317
3028,317
3039,318
3049,318
3059,318
3069,317
3080,318
3091,317
3101,317
3111,317
3122,317
3132,317
3143,317
3153,317
3164,317
3174,318
3184,317
3194,317
3206,318
3216,318
3226,317
3236,317
3247,317
3257,318
3268,317
3278,317
3289,317
3299,317
3309,317
3320,317
3331,317
3341,317
3351,317
3361,318
3372,317
3383,317
3393,317
3403,317
3414,318
3424,318
3434,317
3445,317
3456,317
3466,317
3476,317
3486,317
3497,317
3508,317
3518,317
3528,317
3538,317
3549,318
3560,317
3570,317
3580,317
3591,317
3601,317
3611,317
3622,317
3633,318
3643,317
3653,317
3663,317
3674,317
3685,317
3695,317
3705,317
3716,317
3726,317
3737,317
3747,317
3758,317
3768,317
3778,317
3788,317
3800,317
3810,317
3820,317
3830,317
3841,317
3851,317
3862,317
3872,317
3883,317
3893,317
3903,317
3914,317
3924,317
3935,317
3945,317
3955,317
3965,317
3977,317
3987,317
3997,317
4007,317
4018,317
4028,317
4039,317
4049,317
4060,317
4070,317
4080,317
4091,317
4102,317
4112,317
4122,317
4132,317
4143,317
4154,317
4164,317
4174,317
4185,317
4195,317
4205,318
4216,318
4227,317
4237,317
4247,317
4257,317
4268,317
4279,317
4289,317
4299,317
4310,317
4320,317
4331,317
4341,317
4352,317
4362,317
4372,317
4382,317
4393,317
4404,318
4414,318
4424,318
4434,318
4445,318
4456,318
4466,317
4476,318
4487,317
4497,317
4508,317
4518,317
4529,317
4539,317
4549,317
4559,317
4571,317
4581,318
4591,318
4601,318
4612,318
4622,318
4633,318
4643,318
4654,318
4664,318
4674,318
4684,318
4696,318
4706,318
4716,318
4726,318
4737,317
4748,318
4758,317
4768,317
4779,317
4789,318
4799,318
4810,318
4820,318
4831,318
4841,318
4851,318
4861,318
4873,318
4883,318
4893,317
4903,318
4914,318
4925,318
4935,318
4945,318
4956,318
4966,317
4976,317
4987,317
4998,318
5008,318
5018,318
5028,318
5039,318
5050,318
5060,317
5070,317
5081,317
5091,317
5102,317
5112,317
5123,317
5133,317
5143,317
5153,317
5165,317
5175,317
5185,317
5195,317
5206,318
5216,318
5227,317
5237,317
5248,317
5258,317
5268,317
5278,317
5289,317
5300,317
5310,317
5320,317
5330,317
5342,317
5352,317
5362,317
5372,317
5383,318
5393,317
5404,318
5414,318
5425,318
5435,318
5445,319
5455,319
5467,319
5477,319
5487,319
5497,320
5508,319
5519,319
5529,319
5539,319
5550,319
5560,319
5570,320
5581,320
5592,320
5602,320
5612,320
5622,320
5633,320
5644,320
5654,320
5664,320
5675,320
5685,320
5695,320
5706,320
5716,320
5727,320
5737,320
5747,320
5758,321
5769,320
5779,321
5789,321
5799,321
5810,321
5821,321
5831,321
5841,321
5852,321
5862,321
5872,321
5883,321
5894,321
5904,321
5914,321
5924,321
5936,321
5946,321
5956,321
5966,321
5977,321
5987,321
5998,321
6008,321
6019,321
6029,321
6039,321
6049,321
6061,321
6071,321
6081,321
6091,321
6102,321
6113,321
6123,321
Valve opened
6133,321
6144,320
6154,321
6165,321
6175,321
6185,321
6196,321
6206,321
6216,321
6227,321
6238,321
6248,321
6258,321
6268,321
6279,321
6290,321
6300,320
6310,320
6321,321
6331,321
6342,321
6352,321
6363,321
6373,321
6383,321
6393,321
6405,321
6415,321
6425,321
6435,321
6446,321
6456,321
6467,321
6477,321
6488,320
6498,321
6508,320
6519,320
6530,320
6540,320
6550,320
6560,320
6571,320
6582,320
6592,320
6602,320
6612,320
6623,320
6634,320
6644,320
6654,320
6665,320
6675,320
6685,320
6696,319
6707,319
6717,319
6727,319
6737,319
6749,319
6759,319
6769,318
6779,318
6790,318
6800,318
6811,318
6821,318
6832,318
6842,317
6852,317
6862,317
6874,317
6884,317
6894,317
6904,317
6915,317
6925,317
6936,317
6946,317
6957,317
6967,317
6977,317
6988,317
6999,317
7009,317
7019,317
7029,317
7040,317
7051,317
7061,317
7071,317
7081,317
7092,317
7103,317
7113,317
7123,317
7134,316
7144,316
7154,316
7165,316
7176,317
7186,316
7196,317
7206,317
7218,317
7228,316
7238,317
7248,317
7259,316
7269,316
7280,317
7290,317
7301,317
7311,317
7321,317
7331,317
7343,316
7353,316
7363,317
7373,316
7384,316
7395,316
7405,317
7415,317
7426,316
7436,316
7446,317
7457,317
7468,316
7478,316
7488,316
7498,316
7508,316
7520,316
7530,316
7540,316
7550,316
7561,316
7572,316
7582,316
7592,316
7603,316
7613,316
7623,316
7634,316
7645,316
7655,316
7665,316
7675,316
7687,316
7697,316
7707,316
7717,316
7728,316
7738,316
7749,316
7759,316
7770,316
7780,316
7790,316
7800,316
7812,316
7822,316
7832,316
7842,316
7853,316
7864,316
7874,316
7884,316
7895,316
7905,316
7915,316
7926,316
7937,316
7947,316
7957,316
7967,316
7977,316
7989,316
7999,316
8009,316
8019,316
8030,316
8041,316
8051,316
8061,316
8072,316
8082,316
8092,316
8103,316
8114,316
8124,316
8134,316
8144,316
8156,317
8166,316
8176,316
8186,316
8197,316
8207,316
8218,316
8228,316
8239,316
8249,316
8259,316
8269,316
8281,317
8291,317
8301,316
8311,316
8322,316
8333,316
8343,317
8353,317
8364,317
8374,316
8384,316
8395,317
8406,317
8416,316
8426,316
8436,321
8446,324
8458,324
8468,323
8478,322
8488,321
8499,321
8510,319
8520,316
8530,317
8541,315
8551,316
8561,314
8572,316
8583,317
8593,318
8603,320
8613,319
8625,319
8635,320
8645,322
8655,322
8666,325
8676,324
8687,320
8697,317
8708,318
8718,318
8728,317
8738,317
8750,318
8760,319
8770,320
8780,318
8791,318
8802,319
8812,320
8822,321
8833,323
8843,323
8853,323
8864,323
8875,318
8885,315
8895,319
8905,322
8915,324
8927,322
8937,324
8947,325
8957,323
8968,322
8979,322
8989,321
8999,320
9010,319
9020,318
9030,320
9041,321
9052,322
9062,320
9072,322
9082,320
9094,321
9104,322
9114,324
9124,325
9135,325
9145,321
9156,321
9166,321
9177,319
9187,320
9197,321
9207,320
9219,322
9229,323
9239,323
9249,323
9260,327
9271,329
9281,331
9291,328
9302,327
9312,328
9322,327
9333,325
9344,326
9354,324
9364,324
9374,322
9384,326
9396,329
9406,329
9416,327
9426,329
9437,328
9448,330
9458,326
9468,327
9479,332
9489,333
9499,332
9510,331
9521,333
9531,333
9541,331
9551,330
9563,333
9573,336
9583,337
9593,338
9604,340
9614,343
9625,343
9635,338
9646,338
9656,340
9666,340
9677,339
9688,337
9698,339
9708,345
9718,346
9729,347
9740,348
9750,346
9760,345
9771,347
9781,348
9791,348
9802,346
9812,345
9823,345
9833,345
9843,344
9853,345
9865,346
9875,345
9885,346
9895,347
9906,350
9917,351
9927,351
9937,352
9948,351
9958,347
9968,345
9979,346
9990,351
10000,349
10010,350
10020,350
10032,349
10042,350
10052,352
10062,351
10073,350
10084,351
10094,352
10104,355
10115,353
10126,352
10136,352
10146,353
10157,352
10167,353
10178,352
10188,353
10199,352
10209,355
10219,356
10230,357
10241,359
10251,358
10261,356
10271,354
10283,355
10293,356
10303,359
10313,361
10324,363
10335,363
10345,362
10355,360
10365,361
10377,362
10387,364
10397,365
10407,366
10418,367
10429,367
10439,364
10449,365
10460,365
10470,366
10481,364
10491,366
10502,368
10512,370
10522,371
10533,371
10544,371
10555,369
10566,368
10578,370
10590,370
10601,370
10612,372
10624,371
10635,371
10647,373
10658,373
10670,375
10681,376
10692,376
10703,378
10716,380
10727,380
10738,380
10749,378
10761,376
10773,373
10784,372
10796,374
10807,376
10818,377
10829,378
10842,378
10853,379
10864,380
10875,383
10887,384
10898,386
10910,388
10921,389
10933,388
10944,389
10955,389
10967,389
10979,389
10990,388
11001,389
11013,390
11024,392
11035,391
11047,391
11059,390
11070,391
11081,394
11092,394
11104,395
11116,395
11127,394
11139,393
11150,392
11161,391
11173,391
11185,393
11196,395
11207,396
11218,398
11230,398
11242,397
11253,397
11265,397
11276,398
11287,400
11298,402
11311,403
11322,405
11333,404
11344,403
11356,403
11367,403
11379,404
11390,404
11402,405
11413,405
11424,406
11436,406
11448,407
11459,408
11470,409
11482,410
11493,411
11505,411
11516,410
11528,410
11539,411
11550,410
11561,410
11574,425
11585,438
11596,448
11608,409
11619,401
11630,399
11642,398
11654,394
11665,396
11676,396
11687,403
11699,410
11711,399
11722,396
11734,393
11745,394
11756,392
11767,392
11780,394
11791,393
11802,397
11813,407
11825,404
11836,404
11848,402
11859,396
11871,394
11882,395
11893,396
11906,400
11917,402
11928,403
11939,404
11951,405
11962,407
11974,408
11985,408
11997,407
12008,408
12019,409
12030,409
12043,410
12054,412
12065,412
12077,410
12088,416
12099,410
12111,408
12123,407
12134,403
12145,403
12156,401
12168,401
