mass,slope
1.000,-0.000078
1.000,-0.016141
1.250,-0.015643
1.250,-0.015752
1.500,-0.027711
1.500,-0.004012
1.500,-0.004012
1.750,-0.000036
1.750,-0.000225
2.000,-0.034552
2.000,-0.028245
2.250,-0.026060
2.250,-0.017993
2.500,-0.027783
2.500,-0.050110
2.750,-0.046340
2.750,-0.032890
3.000,-0.048181
3.000,-0.028494
3.000,-0.042280
3.000,-0.039578
3.125,-0.035790
3.200,-0.067841
3.250,-0.076152
3.250,-0.046760
3.300,-0.059847
3.375,-0.030036
3.400,-0.064206
3.500,-0.096495
3.500,-0.041558
3.500,-0.037143
3.500,-0.077118
3.500,-0.078592
3.600,-0.093708
3.625,-0.051768
3.700,-0.071508
3.750,-0.090241
3.750,-0.072006
3.800,-0.089858
3.875,-0.066518
3.900,0.000231
4.000,0.000260
4.000,-0.074592
4.000,-0.000091
