time,value
15400,264
15413,264
15424,264
15435,264
15447,264
15458,264
15469,264
15481,265
15493,265
15504,265
15515,266
15526,266
15538,266
15550,266
15561,266
15572,266
15584,266
15595,266
15606,266
15619,266
15630,266
15641,266
15652,265
15664,265
15675,265
15687,265
15698,265
15710,265
15721,265
15732,265
15745,265
15756,265
15767,265
15778,265
15790,265
15801,265
15813,265
15824,265
15836,265
15847,265
15858,265
15869,265
15882,265
15893,265
15904,265
15916,265
15927,265
15938,265
15950,265
15962,265
15973,265
15984,265
15995,265
16007,265
16019,265
16030,265
16041,265
16053,265
16064,265
16076,265
16088,265
16099,265
16110,265
16121,265
16133,265
16145,265
16156,265
16167,265
16179,265
16190,265
16201,265
16214,265
16225,265
16236,265
16247,265
16259,265
16270,265
16282,265
16293,265
16305,264
16316,265
16327,265
16338,265
16351,265
16362,265
16373,265
16385,264
16396,265
16407,265
16419,264
16431,264
16442,264
16453,264
16464,264
16477,264
16488,264
16499,264
16510,264
16522,264
16533,264
16545,264
16557,264
16568,264
16579,264
16590,264
16602,264
16614,264
16625,264
16636,264
16648,263
16659,264
16670,263
16683,263
16694,263
16705,263
16716,263
16728,263
16739,263
16751,263
16762,263
16774,263
16785,263
16796,263
16808,263
16820,263
16831,263
16842,263
16854,263
16865,262
16877,262
16888,262
16900,262
16911,262
16922,262
16933,262
16946,262
16957,262
16968,262
16979,262
16991,262
17002,262
17014,262
17026,262
17037,262
17048,262
17059,262
17071,261
17083,261
17094,261
17105,262
17117,261
17128,261
17139,261
17152,261
17163,261
17174,262
17185,261
17197,261
17209,261
17220,261
17231,261
17243,262
17254,261
17265,261
17277,261
17289,261
17300,262
17311,261
17323,261
17334,261
17346,261
17357,262
17369,261
17380,261
17391,261
17402,261
17415,262
17426,265
17437,266
17448,266
17460,264
17471,264
17483,263
17495,261
17506,263
17517,265
17528,264
17541,264
17552,263
17563,263
17574,262
17586,262
17597,262
17609,261
17620,263
17632,264
17643,265
17654,265
17666,262
17678,261
17689,260
17700,260
17712,261
17723,263
17734,266
17746,265
17758,264
17769,266
17780,267
17792,266
17803,265
17815,265
17826,264
17838,263
17849,263
17860,262
17871,262
17884,261
17895,262
17906,263
17917,263
17929,262
17941,262
17952,262
17964,263
17975,264
17986,265
17997,265
18010,261
18021,261
18032,263
18043,260
18055,261
18066,265
18078,265
18089,265
18101,264
18112,263
18123,263
18135,262
18147,262
18158,263
18169,262
18181,261
18192,261
18203,262
18215,263
18227,264
18238,264
18249,264
18260,265
18273,265
18284,264
18295,263
18307,264
18318,264
18329,263
18341,262
18353,261
18364,262
18375,263
18386,264
18398,265
18410,264
18421,264
18433,263
18444,264
18455,263
18466,263
18479,263
18490,262
18501,262
18512,262
18524,262
18535,263
18547,264
18558,265
18570,265
18581,264
18592,264
18604,263
18616,262
18627,262
18638,262
18650,262
18661,262
18673,263
18684,263
18696,264
18707,264
18718,264
18729,264
18742,264
18753,264
18764,263
18776,263
18787,263
18798,263
18810,263
18822,263
18833,264
18844,264
18855,264
18867,265
18879,265
18890,265
18902,264
18913,264
18924,264
18935,263
18948,263
18959,264
18970,264
18981,264
18993,264
19005,264
19016,265
19027,265
19039,265
19050,264
19061,264
19074,264
19085,263
19096,263
19107,263
19119,263
19130,263
19142,264
19153,264
19165,264
19176,264
19187,264
19198,263
19211,263
19222,263
19233,263
19245,263
19256,263
19267,263
19279,263
19291,263
19302,263
19313,264
19324,264
19336,264
19348,264
19359,264
19371,264
19382,264
19393,264
19405,264
19417,264
19428,264
19439,264
19450,264
19462,265
19474,265
19485,265
19496,265
19508,265
19519,265
19530,265
19543,265
19554,264
19565,264
19576,264
19588,264
19599,264
19611,264
19622,264
19634,264
19645,264
19656,264
19667,264
19680,264
19691,263
19702,263
19714,264
19725,263
19737,263
19748,264
19760,263
19771,263
19782,263
19793,263
19806,263
19817,263
19828,263
19840,263
19851,263
19862,263
19874,263
19886,263
19897,263
19908,263
19919,263
19931,263
19943,263
19954,263
19965,263
19977,263
19988,263
19999,263
20012,263
20023,263
20034,263
20045,264
20057,264
20068,264
20080,264
20091,265
20103,265
20114,265
20125,265
20137,265
20149,264
20160,264
20171,265
20183,264
20194,264
20206,265
20217,265
20229,265
20240,265
20251,265
20262,265
20275,265
20286,265
20297,264
20308,264
20320,265
20331,264
20343,264
20355,264
20366,264
20377,264
20388,265
20400,265
20412,265
20423,265
20434,265
20446,265
20457,265
20469,265
20481,266
20492,266
20503,266
20514,266
20526,266
20538,266
20549,267
20560,266
20572,267
20583,267
20594,267
20606,267
20618,267
20629,267
20640,267
20652,267
20663,267
20675,267
20686,268
20698,268
20709,268
20720,268
20731,268
20744,268
20755,268
20766,269
20777,268
20789,269
20800,269
20812,269
20824,269
20835,269
20846,270
20857,269
20870,270
20881,270
20892,270
20903,270
20915,270
20926,270
20938,270
20950,271
20961,271
20972,271
20983,271
20995,271
21007,271
21018,271
21029,272
21041,272
21052,272
21063,272
21075,272
21087,272
21098,272
21109,272
21121,272
21132,273
21144,273
21155,273
21167,273
21178,274
21189,274
21201,274
21213,274
21224,274
21235,274
21246,276
21258,276
21270,281
21281,286
21293,284
21304,282
21315,278
21326,275
21339,274
21350,274
21361,273
21372,274
21384,274
21395,273
21407,273
21419,273
21430,272
21441,270
21452,269
21464,265
21476,264
21487,265
21498,261
21510,262
21521,263
21532,261
21544,263
21556,261
21567,261
21578,263
21590,265
21602,263
21613,260
21624,264
21636,262
21647,265
21658,266
21670,265
21682,269
21693,271
21704,272
21715,274
21727,274
21739,276
21750,277
21762,279
21773,280
21784,282
21795,284
21808,287
21819,288
21830,289
21841,291
21853,292
21864,291
21876,291
21888,292
21899,293
21910,295
21921,295
21934,296
21945,297
21956,298
21967,298
21979,300
21990,301
22002,302
22013,303
22025,303
22036,304
22047,304
22059,304
22071,305
22082,305
22093,306
22105,307
22116,307
22127,308
22139,308
22151,308
22162,309
