time,value
207912,326
207925,325
207937,325
207949,325
207963,325
207975,324
207987,324
208000,324
208012,324
208025,324
208037,324
208050,325
208062,324
208074,324
208087,324
208100,325
208112,324
208124,325
208137,325
208149,325
208162,325
208175,325
208187,325
208199,325
208211,325
208225,325
208237,325
208249,325
208262,325
208274,325
208286,325
208300,325
208312,325
208324,325
208336,325
208349,325
208362,325
208374,325
208387,325
208399,325
208411,324
208424,324
208437,324
208449,325
208461,325
208474,325
208486,324
208499,324
208512,324
208524,324
208536,324
208548,324
208562,324
208574,324
208586,323
208599,324
208611,323
208624,324
208636,324
208649,324
208661,324
208673,324
208686,324
208699,323
208711,324
208723,324
208736,324
208748,324
208761,324
208774,323
208786,323
208798,324
208811,324
208824,324
208836,324
208848,324
208861,323
208873,323
208885,323
208899,324
208911,324
208923,324
208935,323
208948,323
208961,324
208973,323
208986,324
208998,324
209010,324
209024,324
209036,324
209048,324
209060,324
209073,324
209085,324
209098,324
209111,324
209123,324
209135,324
209147,324
209161,323
209173,324
209185,324
209198,324
209210,324
209223,324
209235,324
209248,324
209260,324
209272,323
209285,324
209298,323
209310,324
209323,324
209335,324
209347,323
209360,323
209373,323
209385,324
209397,324
209410,324
209423,324
209435,324
209447,323
209460,323
209472,324
209484,324
209498,324
209510,324
209522,323
209534,324
209547,323
209560,323
209572,323
209585,324
209597,324
209609,323
209623,324
209635,324
209647,323
209659,324
209672,324
209684,324
209697,324
209710,324
209722,323
209734,323
209746,323
209760,324
209772,324
209784,324
209797,323
209809,324
209822,323
209835,323
209847,323
209859,324
209871,324
209884,324
209897,323
209909,323
209922,323
209934,324
209946,323
209959,324
209972,324
209984,324
209996,323
210009,324
210022,323
210034,323
210046,323
210059,323
210071,324
210083,324
210097,324
210109,324
210121,324
210134,323
210146,323
210159,323
210171,323
210184,324
210196,324
210208,324
210222,323
210234,323
210246,323
210258,324
210271,324
210283,324
210296,323
210309,323
210321,323
210333,323
210345,323
210359,324
210371,324
210383,324
210396,324
210408,324
210421,324
210434,324
210446,323
210458,323
210470,323
210483,324
210496,324
210508,324
210521,324
210533,324
210545,324
210558,324
210571,324
210583,323
210595,323
210608,323
210621,323
210633,324
210646,324
210658,324
210670,324
210682,324
210696,323
210708,324
210720,323
210733,324
210745,324
210758,324
210770,324
210783,324
210795,323
210807,323
210821,323
210833,323
210845,323
