time,value
8519,955
8529,955
8540,954
8551,955
8561,955
8571,955
8582,955
8592,954
8602,955
8613,955
8624,955
8634,955
8644,955
8654,954
8666,954
8676,954
8686,954
8696,955
8707,955
8717,954
8728,955
8738,954
8749,954
8759,954
8769,954
8779,955
8791,953
8801,954
8811,954
8821,954
8832,954
8843,954
8853,954
8863,954
8873,954
8884,954
8894,954
8905,954
8915,954
8926,954
8936,954
8946,954
8956,953
8968,954
8978,953
8988,954
8998,954
9009,953
9020,954
9030,954
9040,954
9051,954
9061,954
9071,954
9082,953
9093,954
9103,954
9113,954
9123,954
9135,953
9145,954
9155,954
9165,954
9176,954
9186,954
9197,954
9207,954
9218,954
9228,954
9238,954
9248,954
9260,954
9270,954
9280,954
9290,953
9300,954
9312,954
9322,954
9332,954
9342,954
9353,953
9363,954
9374,954
9384,954
9395,954
9405,954
9415,954
9425,954
9437,953
9447,953
9457,953
9467,953
9478,954
9488,954
9499,953
9509,954
9520,953
9530,953
9540,954
9551,953
9562,953
9572,954
9582,953
9592,954
9603,954
9614,953
9624,954
9634,954
9645,954
9655,953
9666,954
9676,954
9687,954
9697,953
9707,954
9717,954
9729,953
9739,954
9749,955
9759,954
9769,954
9780,954
9791,955
9801,954
9811,954
9822,953
9832,954
9843,954
9853,954
9864,954
9874,954
9884,955
9894,954
9906,955
9916,954
9926,954
9936,955
9947,954
9957,954
9968,955
9978,954
9989,954
9999,953
10009,954
10020,954
10031,954
10041,954
10051,954
10061,955
10073,955
10083,955
10093,954
10103,955
10114,955
10125,955
10135,955
10145,954
10156,955
10167,955
10177,955
10187,955
10198,955
10208,955
10219,955
10229,955
10240,955
10250,955
10260,955
10271,955
10281,955
10292,955
10302,955
10312,955
10323,955
10334,955
10344,954
10354,955
10365,955
10376,955
10386,954
10396,955
10406,955
10418,955
10428,955
10438,955
10448,955
10459,955
10470,954
10480,955
10490,955
10502,955
10513,954
10524,955
10535,955
10547,955
10559,955
10570,955
10582,954
10593,954
10604,955
10615,954
10628,954
10639,954
10650,954
10661,954
10673,954
10684,954
10696,955
10707,954
10719,954
10730,954
10741,955
10753,954
10765,953
10776,955
10787,954
10799,954
10810,954
10821,954
10833,954
10845,954
10856,955
10867,953
10878,954
10891,954
10902,954
10913,954
10925,953
10936,954
10947,954
10959,954
10971,954
10982,954
10993,954
11004,954
11016,953
11028,954
11039,953
11051,953
11062,953
11073,954
11084,953
11097,953
11108,954
11119,953
11130,954
11142,954
11153,953
11165,953
11176,953
11188,953
11199,953
11210,953
11222,953
11234,951
11245,952
11256,952
11268,952
11279,952
11291,952
11302,952
11314,951
11325,952
11336,951
11347,951
11360,952
11371,952
11382,952
11394,952
11405,952
11416,952
11428,952
11440,952
11451,952
11462,952
