,834
1954,832
1966,833
1976,833
1986,833
1996,833
2007,834
2017,833
2028,833
2038,833
2049,834
2059,833
2069,833
2080,833
2091,834
2101,833
2111,833
2121,834
2131,833
2143,833
2153,833
2163,833
2173,833
2184,833
2194,833
2205,833
2215,833
2226,833
2236,833
2246,833
2257,833
2268,833
2278,833
2288,833
2298,833
2309,833
2320,833
2330,833
2340,834
2351,833
2361,833
2371,833
2382,833
2393,833
2403,833
2413,833
2423,833
2435,833
2445,833
2455,833
2465,833
2476,833
2486,833
2497,833
2507,833
2518,833
2528,833
2538,833
2548,833
2560,833
2570,833
2580,833
2590,833
2600,833
2612,833
2622,833
2632,833
2642,833
2653,833
2663,833
2674,833
2684,833
2695,833
2705,833
2715,833
2725,833
2737,833
2747,833
2757,833
2767,833
2778,833
2789,832
2799,833
2809,833
2820,833
2830,833
2840,833
2851,833
2862,833
2872,833
2882,833
2892,833
2903,833
2914,833
2924,833
2934,833
2945,833
2955,833
2965,833
2976,833
2987,833
2997,833
3007,833
3017,833
3028,833
3039,833
3049,833
3059,833
3069,833
3080,833
3091,833
3101,833
3111,833
3122,833
3132,833
3142,833
3153,833
3164,833
3174,833
3184,833
3194,833
3206,833
3216,833
3226,833
3236,833
3247,833
3257,833
3268,833
3278,833
3289,833
3299,833
3309,833
3319,833
3331,832
3341,833
3351,833
3361,833
3372,833
3382,833
3393,833
3403,833
3414,833
3424,833
3434,833
3445,832
3456,833
3466,833
3476,833
3486,834
3496,833
3508,833
3518,833
3528,833
3538,833
3549,833
3560,833
3570,832
3580,833
3591,833
3601,833
3611,833
3622,833
3633,833
3643,833
3653,833
3663,833
3674,833
3685,833
3695,833
3705,833
3716,833
3726,833
3737,833
3747,833
3758,834
3768,833
3778,833
3788,833
3800,833
3810,833
3820,832
3830,833
3841,833
3851,833
3862,833
3872,833
3883,833
3893,833
3903,833
3913,833
3924,833
3935,833
3945,832
3955,833
3965,833
3977,833
3987,833
3997,833
4007,833
4018,833
4028,833
4039,833
4049,834
4060,833
4070,833
4080,833
4090,833
4102,833
4112,833
4122,833
4132,833
4143,833
4154,833
4164,834
4174,833
4185,833
4195,833
4205,833
4216,833
4227,833
4237,833
4247,833
4257,833
4268,833
4279,833
4289,834
4299,833
4310,834
4320,833
4331,833
4341,833
4352,833
4362,833
4372,833
4382,833
4393,833
4404,833
4414,833
4424,833
4434,833
4445,833
4456,833
4466,833
4476,833
4487,833
4497,833
4508,834
4518,833
4529,833
4539,833
4549,833
4559,834
4571,833
4581,833
4591,833
4601,833
4612,834
4622,833
4633,834
4643,833
4654,833
4664,834
4674,834
4685,834
4696,833
4706,833
4716,833
4726,833
4737,833
4748,833
4758,833
4768,833
4779,833
4789,834
4799,834
4810,833
4820,833
4831,833
4841,833
4851,833
4862,833
4873,833
4883,833
4893,833
4903,834
4914,833
4925,834
4935,833
4945,833
4956,833
4966,834
4976,833
4987,833
4998,833
5008,833
5018,833
5028,834
5040,833
5050,833
5060,833
5070,833
5081,833
5091,833
5102,833
5112,833
5123,833
5133,833
5143,833
5153,833
5165,833
5175,833
5185,833
5195,833
5206,833
5216,833
5227,833
5237,833
5248,834
5258,833
5268,833
5279,833
5289,834
5300,834
5310,833
5320,833
5330,833
5342,833
5352,833
5362,833
5372,833
5383,833
5393,833
5404,833
5414,833
5425,833
5435,834
5445,834
5456,834
5467,834
5477,833
5487,833
5497,833
5508,833
5519,833
5529,833
5539,834
5550,833
5560,833
5570,833
5581,833
5592,833
5602,833
5612,833
5622,833
5634,833
5644,833
5654,833
5664,833
5675,833
5685,833
5696,834
5706,833
5716,833
5727,833
5737,833
5747,833
5758,833
5769,834
5779,833
5789,833
5799,833
5811,833
5821,833
5831,834
5841,833
5852,833
5862,833
5873,834
5883,833
5894,833
5904,833
5914,833
5924,833
5936,833
5946,833
5956,833
5966,833
5977,834
5988,833
5998,833
6008,833
6019,834
6029,833
6039,833
6050,833
6061,833
6071,833
6081,833
6091,833
6102,833
6113,834
6123,834
6133,833
6144,833
6154,834
6164,833
6175,833
6185,833
6196,834
6206,834
6216,833
6227,834
6238,834
6248,833
6258,833
6268,833
6279,834
6290,833
6300,833
6310,834
6321,834
6331,834
6341,833
6352,833
6363,834
6373,834
6383,833
6393,833
6405,834
6415,834
6425,833
6435,833
6446,833
6456,834
6467,833
6477,834
6488,833
6498,833
6508,833
6518,834
6530,834
6540,833
6550,834
6560,833
6571,833
6582,833
6592,833
6602,834
6612,833
6623,833
6633,833
6644,833
6654,834
6665,834
6675,833
6685,833
6695,833
6707,834
6717,833
6727,833
6737,833
6748,834
6758,833
6769,834
6779,833
6790,833
6800,834
6810,833
6821,833
6832,833
6842,834
6852,833
6862,833
6873,833
6884,833
6894,833
6904,834
6915,833
6925,833
6935,833
6946,834
6957,833
6967,833
6977,833
6987,833
6999,833
7009,833
7019,834
7029,834
7040,833
7050,834
7061,834
7071,834
7081,833
7092,833
7102,834
7112,834
7123,833
7134,834
7144,833
7154,834
7164,833
7176,833
7186,834
7196,833
7206,834
7217,834
7227,833
7238,834
7248,833
7259,833
7269,833
7279,834
7289,833
7301,833
7311,833
7321,833
7331,833
7342,834
7353,833
7363,834
7373,833
7384,833
7394,834
7404,834
7415,834
7426,833
7436,834
7446,833
7456,833
7467,833
7478,834
7488,834
7498,833
7508,833
7519,834
7529,834
7540,833
7550,834
7561,834
7571,834
7581,834
7592,833
7603,833
7613,834
7623,834
7633,834
7644,834
7655,834
7665,833
7675,834
7686,834
7696,834
7706,834
7717,834
7728,834
7738,834
7748,833
7758,833
7770,834
7780,834
7790,834
7800,834
7811,834
7821,834
7832,834
7842,834
7853,834
7863,834
7873,834
7883,834
7895,834
7905,834
7915,834
7925,834
7936,834
7946,834
7957,834
7967,835
7977,835
7988,834
7998,834
8009,834
8019,835
8030,834
8040,834
8050,834
8060,834
8072,834
8082,834
8092,834
8102,834
8113,834
8123,835
8134,834
8144,834
8155,834
8165,835
8175,834
8186,835
8197,835
8207,835
8217,835
8227,835
8238,835
8249,835
8259,835
8269,836
8280,835
8290,836
8300,835
8311,836
8322,835
8332,836
8342,835
8352,836
8364,836
8374,835
8384,836
8394,836
8404,836
8415,836
8426,836
8436,836
8446,836
8457,836
8467,836
8477,836
8488,836
8499,836
8509,836
8519,836
8529,836
8541,836
8551,836
8561,836
8571,836
8582,836
8592,836
8603,836
8613,836
8624,836
8634,836
8644,836
8654,836
8666,836
8676,835
8686,836
8696,836
8707,836
8717,836
8728,836
8738,836
8749,836
8759,835
8769,836
8780,836
8791,836
8801,836
8811,836
8821,836
8832,836
8843,837
8853,836
8863,836
8873,836
8884,836
8894,836
8905,837
8915,836
8926,837
8936,837
8946,837
8957,836
8968,837
8978,837
8988,837
8998,837
9009,837
9020,837
9030,837
9040,837
9051,837
9061,838
9071,837
9082,837
9093,837
9103,837
9113,837
9123,837
9135,837
9145,837
9155,837
9165,837
9176,837
9186,837
9197,837
9207,837
9218,837
9228,837
9238,837
9248,837
9260,837
9270,837
9280,837
9290,837
9300,837
9311,837
9322,837
9332,837
9342,836
9353,837
9363,837
9374,837
9384,837
9395,837
9405,836
9415,836
9425,836
9437,836
9447,836
9457,836
9467,836
9478,836
9488,836
9499,835
9509,836
9520,835
9530,836
9540,836
9551,836
9562,836
9572,836
9582,836
9592,836
9603,836
9614,836
9624,836
9634,836
9645,835
9655,835
9665,836
9676,835
9687,835
9697,834
9707,834
9717,834
9729,834
9739,834
9749,833
9759,833
9769,833
9780,833
9791,832
9801,832
9811,832
9822,832
9832,832
9842,832
9853,832
9864,832
9874,831
9884,832
9894,832
9906,831
9916,831
9926,831
9936,831
9947,831
9957,831
9968,831
9978,832
9989,831
9999,831
10009,832
10019,831
10031,832
10041,832
10051,831
10061,831
10073,831
10083,832
10093,831
10103,831
10114,831
10125,831
10135,831
10145,831
10156,831
10166,831
10177,831
10187,831
10198,831
10208,831
10218,831
10229,831
10240,831
10250,831
10260,831
10270,831
10281,831
10292,831
10302,832
10312,832
10323,831
10334,831
10344,831
10354,831
10364,831
10376,831
10386,831
10396,830
10406,831
10417,831
10428,831
10438,831
10448,831
10459,831
10469,831
10480,831
10490,831
10501,831
10511,831
10522,831
10532,832
10543,831
10553,831
10563,832
10574,831
10585,832
10595,831
10605,832
10615,832
10628,833
10639,832
10650,833
10661,833
10673,834
10684,834
10696,834
10707,835
10719,835
10730,836
10741,836
10753,837
10765,837
10776,837
10787,837
10799,838
10810,838
10821,839
10833,839
10845,838
10856,839
10867,839
10878,839
10890,838
10902,838
10913,839
10925,838
10936,838
10947,838
10959,838
10971,838
10982,838
10993,838
11004,838
11016,838
11028,838
11039,838
11051,838
11062,838
11073,838
11084,838
11097,838
11108,838
11119,838
11130,838
11142,838
11153,838
11165,838
11176,837
11188,837
11199,838
11210,838
11222,838
11234,837
11245,837
11256,837
11268,837
11279,837
11290,837
11302,837
11314,837
11325,837
11336,836
11347,837
11360,837
11371,837
11382,836
11394,837
11405,837
11416,837
11428,836
11440,837
11451,837
11462,836
11473,837
11485,836
11497,836
11508,836
11520,837
11531,836
11542,837
11553,836
11566,836
11577,836
11588,836
11599,836
11611,835
11622,836
11634,836
11645,837
11657,836
11668,836
11679,836
11692,836
11703,836
11714,836
11725,836
11737,836
11748,836
11760,836
11771,836
11783,836
11794,836
11805,836
11816,836
11829,836
11840,835
11851,836
11863,836
11874,836
11885,836
11897,836
11909,836
11920,836
11931,836
11942,836
11954,836
11966,836
11977,836
11988,835
12000,836
12011,836
12022,836
12035,836
12046,836
12057,836
12068,836
12080,836
12092,836
12103,836
12114,836
12126,836
12137,836
12148,836
12161,836
12172,836
12183,836
12194,836
12206,835
12217,836
12229,836
12240,836
12252,836
12263,836
12274,836
12285,836
12298,835
12309,836
12320,836
12332,836
12343,836
12354,836
12366,835
12378,835
12389,836
12400,836
12411,836
12424,836
12435,836
12446,836
12457,836
12469,836
12480,835
12492,836
12504,836
12515,836
12526,836
12537,836
12549,836
12561,836
12572,836
12583,836
12595,836
12606,836
12617,836
12630,836
12641,836
12652,836
12663,836
12675,836
12686,836
12698,836
12709,835
12721,836
12732,836
12743,836
12754,836
12767,836
12778,836
12789,836
Valve opened
12815,836
12827,835
12838,836
12850,836
12861,836
12872,836
12883,836
12896,836
12907,836
12918,836
12930,836
12941,836
12952,836
12964,836
12976,836
12987,836
12998,836
13009,836
13021,836
13033,836
13044,836
13056,836
13067,836
13078,836
13090,836
13102,836
13113,836
13124,836
13135,835
13147,836
13159,836
13170,836
13181,836
13193,836
13204,836
13215,836
13228,836
13239,836
13250,836
13261,836
13273,836
13284,836
13296,836
13307,836
13319,836
13330,836
13341,836
13352,836
13365,835
13376,835
13387,836
13399,836
13410,836
13422,836
13433,836
13445,835
13456,836
13467,836
13478,836
13491,836
13502,836
13513,836
13524,836
13536,836
13547,836
13559,836
13571,836
13582,836
13593,836
13604,836
13616,836
13628,836
13639,836
13650,836
13662,836
13673,835
13684,836
13697,836
13708,836
13719,836
13730,836
13742,836
13753,836
13765,836
13776,836
13788,836
13799,836
13810,836
13822,836
13834,836
13845,836
13856,836
13868,836
13879,836
13891,836
13902,835
13914,836
13925,836
13936,836
13947,836
13960,836
13971,836
13982,836
13993,836
14005,836
14016,836
14028,836
14040,836
14051,836
14062,836
14073,836
14085,836
14097,836
14108,836
14119,836
14131,836
14142,836
14154,836
14166,836
14177,837
14188,836
14199,836
14211,836
14223,836
14234,836
14245,836
14257,836
14268,836
14279,836
14291,836
14303,837
14314,836
14325,836
14337,836
14348,836
14360,836
14371,836
14383,836
14394,836
14405,836
14416,836
14429,836
14440,836
14451,837
14462,836
14474,837
14485,836
14497,836
14509,836
14520,836
14531,837
14542,836
14555,836
14566,837
14577,837
14588,837
14600,837
14611,837
14623,837
14635,837
14646,837
14657,837
14668,836
14680,837
14692,837
14703,837
14714,837
14726,837
14737,838
14748,837
14760,837
14772,837
14783,837
14794,837
14806,837
14817,838
14829,837
14840,837
14852,837
14863,837
14874,837
14886,837
14898,837
14909,837
14920,837
14931,837
14943,837
14955,838
14966,838
14978,837
14989,838
15000,838
15011,838
15024,838
15035,838
15046,838
15057,838
15069,838
15080,838
15092,837
15104,838
15115,838
15126,838
15137,838
15149,838
15161,837
15172,837
15183,838
15195,838
15206,837
15217,837
15229,837
15241,837
15252,837
15263,837
15275,837
15287,837
15298,837
15309,837
15321,837
15332,838
15343,838
15355,838
15367,837
15378,837
15389,838
15400,837
15412,837
15424,837
15435,837
15447,837
15458,837
15469,837
15480,837
15493,837
15504,837
15515,837
15526,837
15538,838
15549,837
15561,837
15572,837
15584,837
15595,837
15606,837
15619,837
15630,837
15641,837
15652,837
15664,837
15675,837
15687,837
15698,837
15710,837
15721,836
15732,837
15744,836
15756,837
15767,837
15778,836
15790,836
15801,836
15812,836
15824,836
15836,836
15847,836
15858,836
15869,836
15881,836
15893,835
15904,836
15916,836
15927,836
15938,836
15949,836
15962,836
15973,836
15984,836
15995,836
16007,836
16019,836
16030,836
16041,836
16053,836
16064,836
16075,836
16088,836
16099,836
16110,836
16121,836
16133,836
16144,836
16156,836
16167,836
16179,836
16190,836
16201,836
16212,836
16225,836
16236,836
16247,836
16259,836
16270,836
16281,836
16293,836
16305,836
16316,836
16327,836
16338,836
16351,836
16362,836
16373,836
16385,836
16396,836
16407,836
16419,836
16431,836
16442,836
16453,836
16464,836
16476,836
16488,836
16499,836
16510,835
16522,836
16533,836
16544,836
16557,836
16568,836
16579,836
16590,835
16602,836
16613,836
16625,836
16636,836
16648,836
16659,836
16670,836
16681,835
16694,835
16705,836
16716,835
16728,835
16739,835
16751,835
16762,835
16774,835
16785,834
16796,834
16807,834
16820,832
16831,832
16842,830
16854,830
16865,829
16876,828
16888,827
16900,826
16911,825
16922,825
16933,824
16945,824
16957,824
16968,823
16979,823
16991,823
17002,822
17013,822
17026,822
17037,821
17048,820
17059,820
17071,820
17083,820
17094,819
17105,819
17117,819
17128,818
17139,817
17152,817
17163,817
17174,816
17185,815
17197,816
17208,814
17220,814
17231,813
17243,813
17254,812
17265,812
17276,811
17289,811
17300,810
17311,810
17323,808
17334,808
17345,806
17357,805
17369,805
17380,804
17391,804
17402,803
17414,803
17426,803
17437,802
17448,801
17460,801
17471,801
17483,801
17495,800
17506,800
17517,800
17528,800
17540,800
17552,800
17563,799
17574,799
17586,798
17597,799
17608,799
17620,800
17632,800
17643,800
17654,800
17666,799
17677,800
17689,799
17700,799
17712,799
17723,799
17734,800
17745,801
17758,800
17769,800
17780,801
17792,804
17803,804
17815,801
17826,798
17838,797
17849,795
17860,793
17871,795
17884,793
17895,788
17906,790
17917,790
17929,790
17940,792
17952,795
17964,797
17975,795
17986,796
17997,795
18009,796
18021,798
18032,799
18043,799
18055,799
18066,796
18077,796
18089,794
18101,794
18112,795
18123,795
18135,792
18146,791
18158,792
18169,792
18181,791
18192,789
18203,789
18215,789
18227,789
18238,790
18249,789
18260,788
18272,788
18284,788
18295,789
18307,789
18318,789
18329,788
18340,785
18353,787
18364,787
18375,785
18386,781
18398,785
18409,786
18421,784
18433,784
18444,784
18455,785
18466,787
18478,786
18490,785
18501,785
18512,785
18524,785
18535,785
18547,785
18558,785
18570,786
18581,786
18592,785
18604,786
18616,785
18627,785
18638,784
18650,783
18661,781
18672,781
18684,782
18696,782
18707,782
18718,783
18729,783
18741,783
18753,783
18764,782
18776,782
18787,782
18798,781
18809,781
18822,781
18833,780
18844,780
18855,780
18867,778
18878,778
18890,779
18902,779
18913,779
18924,780
18935,780
18948,779
18959,779
18970,779
18981,779
18993,778
19004,778
19016,778
19027,779
19039,779
19050,779
19061,780
19073,777
19085,777
19096,770
19107,763
19119,751
19130,747
19141,743
19153,734
19165,726
19176,730
19187,735
19198,739
19210,738
19222,741
19233,746
19245,748
19256,750
19267,752
19279,753
19291,753
19302,754
19313,754
19324,751
19336,749
19348,748
19359,749
19371,749
19382,749
19393,750
19404,750
19417,750
19428,749
19439,751
19450,751
19462,751
19473,753
19485,754
19496,755
19508,754
19519,755
19530,754
19542,753
19554,753
19565,753
19576,753
19588,753
19599,753
19610,753
19622,753
19634,753
19645,753
19656,753
19667,754
19680,754
19691,754
19702,754
19714,754
19725,754
19736,753
19748,753
19760,754
19771,754
