,982
3309,982
3319,982
3331,982
3341,982
3351,982
3361,982
3372,982
3382,982
3393,982
3403,982
3414,982
3424,982
3434,982
3445,982
3456,982
3466,982
3476,982
3486,981
3496,982
3508,982
3518,983
3528,982
3538,982
3549,982
3560,982
3570,982
3580,982
3591,983
3601,983
3611,982
3622,982
3633,982
3643,982
3653,982
3663,982
3674,982
3685,982
3695,982
3705,982
3716,982
3726,983
3737,982
3747,982
3758,982
3768,982
3778,982
3788,983
3800,982
3810,982
3820,982
3830,981
3841,982
3851,982
3862,982
3872,981
3883,982
3893,982
3903,982
3913,982
3924,982
3935,982
3945,982
3955,982
3965,982
3977,982
3987,982
3997,982
4007,982
4018,982
4028,980
4039,982
4049,982
4060,982
4070,983
4080,983
4090,982
4102,982
4112,983
4122,982
4132,983
4143,982
4154,982
4164,982
4174,982
4185,982
4195,983
4205,982
4216,982
4227,982
4237,982
4247,982
4257,981
4268,982
4279,982
4289,982
4299,981
4310,982
4320,982
4331,982
4341,982
4352,982
4362,983
4372,982
4382,982
4393,982
4404,982
4414,982
4424,982
4434,982
4445,982
4456,982
4466,982
4476,982
4487,983
4497,982
4508,982
4518,982
4529,982
4539,982
4549,982
4559,982
4571,982
4581,982
4591,982
4601,982
4612,983
4622,982
4633,982
4643,983
4654,982
4664,982
4674,982
4685,982
4696,982
4706,982
4716,982
4726,982
4737,982
4748,982
4758,982
4768,982
4779,982
4789,982
4799,982
4810,983
4820,982
4831,982
4841,982
4851,982
4862,982
4873,982
4883,982
4893,981
4903,982
4914,982
4925,982
4935,982
4945,982
4956,982
4966,982
4976,982
4987,983
4998,982
5008,982
5018,982
5028,982
5040,982
5050,983
5060,982
5070,982
5081,982
5091,982
5102,982
5112,982
5123,982
5133,982
5143,982
5153,982
5165,982
5175,981
5185,982
5195,982
5206,982
5216,983
5227,982
5237,982
5248,982
5258,983
5268,983
5279,983
5289,983
5300,982
5310,982
5320,982
5330,982
5342,981
5352,983
5362,983
5372,982
5383,983
5393,983
5404,982
5414,982
5425,982
5435,982
5445,982
5456,982
5467,982
5477,982
5487,982
5497,982
5508,982
5519,982
5529,983
5539,982
5550,983
5560,982
5570,982
5581,982
5592,983
5602,982
5612,982
5622,982
5634,982
5644,982
5654,983
5664,983
5675,982
5685,982
5696,982
5706,982
5716,982
5727,982
5737,982
5747,982
5758,982
5769,982
5779,983
5789,982
5799,983
5811,983
5821,983
5831,982
5841,982
5852,982
5862,982
5873,982
5883,982
5894,982
5904,982
5914,983
5924,982
5936,982
5946,982
5956,982
5966,982
5977,982
5988,983
5998,982
6008,982
6019,982
6029,982
6039,982
6050,982
6061,982
6071,982
6081,982
6091,982
6102,982
6113,982
6123,983
6133,982
6144,982
6154,982
6164,982
6175,982
6185,983
6196,982
6206,982
6216,982
6227,982
6238,982
6248,982
6258,982
6268,981
6279,982
6290,982
6300,982
6310,982
6321,983
6331,982
6341,982
6352,983
6363,982
6373,983
6383,982
6393,982
6405,982
6415,982
6425,982
6435,982
6446,982
6456,982
6467,983
6477,982
6488,982
6498,982
6508,982
6518,983
6530,982
6540,981
6550,982
6560,982
6571,982
6582,982
6592,982
6602,982
6612,981
6623,982
6633,982
6644,982
6654,982
6665,982
6675,982
6685,982
6695,982
6707,983
6717,982
6727,983
6737,982
6748,982
6758,982
6769,982
6779,983
6790,982
6800,982
6810,982
6821,982
6832,983
6842,982
6852,982
6862,982
6873,982
6884,981
6894,982
6904,983
6915,982
6925,982
6935,983
6946,983
6957,982
6967,982
6977,982
6987,982
6999,982
7009,982
7019,983
7029,982
7040,982
7050,982
7061,982
7071,982
7081,982
7092,982
7102,982
7112,982
7123,982
7134,982
7144,983
7154,983
7164,982
7176,982
7186,982
7196,982
7206,982
7217,981
7227,982
7238,983
7248,982
7259,982
7269,982
7279,982
7289,982
7301,982
7311,982
7321,982
7331,982
7342,982
7353,982
7363,982
7373,982
7384,982
7394,982
7404,981
7415,982
7426,982
7436,982
7446,982
7456,982
7467,982
7478,982
7488,982
7498,981
7508,982
7519,982
7529,982
7540,982
7550,982
7561,982
7571,982
7581,982
7592,983
7603,982
7613,982
7623,982
7633,982
7644,981
7655,982
7665,982
7675,981
7686,982
7696,982
7706,982
7717,982
7728,982
7738,982
7748,983
7758,982
7770,982
7780,982
7790,982
7800,982
7811,982
7821,982
7832,981
7842,982
7853,982
7863,982
7873,982
7883,981
7895,982
7905,982
7915,982
7925,982
7936,982
7946,982
7957,982
7967,982
7977,982
7988,982
7998,982
8009,982
8019,982
8030,982
8040,982
8050,982
8060,982
8072,982
8082,982
8092,982
8102,982
8113,982
8123,982
8134,982
8144,982
8155,982
8165,982
8175,983
8186,982
8197,982
8207,982
8217,982
8227,982
8238,982
8249,982
8259,982
8269,982
8280,983
8290,982
8300,982
8311,982
8322,982
8332,982
8342,982
8352,982
8364,982
8374,982
8384,982
8394,982
8404,982
8415,982
8426,982
8436,982
8446,983
8457,982
8467,982
8477,982
8488,982
8499,982
8509,982
8519,982
8529,982
8541,982
8551,982
8561,982
8571,981
8582,982
8592,982
8603,982
8613,982
8624,981
8634,983
8644,982
8654,981
8666,982
8676,981
8686,982
8696,983
8707,982
8717,982
8728,982
8738,982
8749,982
8759,983
8769,982
8780,982
8791,982
8801,982
8811,983
8821,982
8832,982
8843,982
8853,982
8863,982
8873,982
8884,982
8894,983
8905,982
8915,982
8926,983
8936,982
8946,983
8957,982
8968,982
8978,983
8988,982
8998,982
9009,982
9020,982
9030,983
9040,982
9051,982
9061,982
9071,982
9082,982
9093,983
9103,982
9113,982
9123,982
9135,982
9145,982
9155,982
9165,982
9176,982
9186,982
9197,982
9207,982
9218,981
9228,983
9238,982
9248,982
9260,983
9270,982
9280,982
9290,983
9300,982
9311,982
9322,982
9332,982
9342,982
9353,982
