time,value,slope
13.07, 135.00, -0.13
13.07, 136.00, 0.02
13.07, 136.00, 0.02
13.08, 133.00, 0.09
13.10, 136.00, 0.02
13.12, 136.00, 0.10
13.15, 134.00, -0.14
13.17, 136.00, 0.09
13.19, 133.00, 0.08
13.21, 135.00, -0.15
13.24, 133.00, -0.00
13.26, 135.00, -0.16
13.28, 134.00, 0.06
13.30, 134.00, 0.06
13.32, 134.00, -0.10
13.35, 134.00, -0.10
13.37, 131.00, -0.04
13.39, 131.00, -0.21
13.42, 132.00, -0.30
13.44, 131.00, -0.08
13.46, 132.00, -0.09
13.48, 133.00, -0.02
13.51, 132.00, -0.10
13.53, 133.00, -0.11
13.55, 134.00, -0.03
13.58, 131.00, -0.27
13.60, 132.00, -0.21
13.62, 131.00, -0.07
13.65, 133.00, -0.23
13.67, 132.00, -0.08
13.69, 132.00, -0.32
13.71, 134.00, -0.17
13.74, 133.00, -0.18
13.76, 133.00, -0.26
13.78, 134.00, -0.27
13.81, 133.00, -4.08
13.83, 133.00, -4.08
13.85, 132.00, -4.12
13.87, 132.00, -4.14
13.90, 133.00, -4.26
13.92, 132.00, -4.44
13.94, 132.00, -4.44
13.97, 132.00, -4.62
13.99, 133.00, -4.66
14.01, 131.00, -4.72
14.03, 132.00, -4.76
14.06, 132.00, -4.79
14.08, 134.00, -4.82
14.10, 134.00, -4.84
14.13, 132.00, -4.86
14.15, 134.00, -4.81
14.17, 132.00, -4.75
14.19, 133.00, -4.59
14.22, 134.00, -4.38
14.24, 134.00, -4.24
14.26, 134.00, -4.12
14.28, 133.00, -4.11
14.31, 134.00, -3.99
14.33, 133.00, -3.94
14.35, 132.00, -3.99
14.38, 134.00, -3.76
14.40, 131.00, -3.69
14.42, 132.00, -3.62
14.45, 131.00, -3.59
14.47, 131.00, -3.58
14.49, 134.00, -3.35
14.52, 132.00, -3.35
14.54, 134.00, -3.22
14.56, 132.00, -3.13
14.58, 131.00, -3.12
14.61, 133.00, -3.00
14.63, 132.00, -2.93
14.65, 131.00, -2.85
14.67, 131.00, -2.77
14.70, 133.00, -2.65
14.72, 133.00, -2.49
14.74, 135.00, -2.25
14.77, 131.00, -2.16
14.79, 135.00, -1.95
14.81, 135.00, -1.68
14.84, 138.00, -1.33
14.86, 135.00, -1.08
14.88, 136.00, -0.88
14.90, 136.00, -0.67
14.93, 133.00, -0.49
14.95, 133.00, -0.39
14.97, 136.00, -0.11
14.99, 143.00, 0.38
15.02, 142.00, 0.79
15.04, 141.00, 1.16
15.06, 139.00, 1.46
15.08, 137.00, 1.72
15.10, 139.00, 2.02
15.13, 135.00, 2.21
15.15, 135.00, 2.43
15.17, 135.00, 2.58
15.19, 137.00, 2.91
15.21, 136.00, 3.16
15.24, 140.00, 3.59
15.26, 137.00, 3.92
15.28, 139.00, 4.21
15.30, 140.00, 4.60
15.32, 136.00, 4.77
15.34, 134.00, 4.95
15.37, 136.00, 5.22
15.39, 135.00, 5.39
15.41, 135.00, 5.59
15.43, 133.00, 5.76
15.45, 135.00, 5.99
15.48, 135.00, 6.16
15.50, 135.00, 6.31
15.52, 139.00, 6.53
15.54, 136.00, 6.79
15.56, 134.00, 6.82
15.59, 135.00, 6.87
15.61, 134.00, 6.78
15.63, 136.00, 6.85
15.65, 135.00, 6.85
15.67, 137.00, 6.92
15.69, 137.00, 7.09
15.72, 137.00, 7.26
15.74, 140.00, 7.43
15.76, 131.00, 6.97
15.78, 134.00, 6.65
15.80, 134.00, 6.36
15.82, 136.00, 6.20
15.85, 135.00, 6.07
15.87, 135.00, 5.88
15.89, 133.00, 5.73
15.91, 134.00, 5.62
15.93, 132.00, 5.43
15.95, 138.00, 5.39
15.98, 135.00, 5.24
16.00, 132.00, 4.85
16.02, 134.00, 4.62
16.04, 135.00, 4.34
16.07, 133.00, 3.95
16.09, 132.00, 3.66
16.11, 133.00, 3.47
16.13, 136.00, 3.32
16.15, 133.00, 3.09
16.17, 131.00, 2.77
16.20, 131.00, 2.53
16.22, 133.00, 2.28
16.24, 133.00, 2.03
16.26, 136.00, 1.88
16.28, 133.00, 1.47
16.31, 133.00, 1.16
16.33, 131.00, 0.85
16.35, 133.00, 0.58
16.37, 136.00, 0.46
16.39, 136.00, 0.26
16.41, 133.00, -0.01
16.44, 131.00, -0.43
16.46, 132.00, -0.82
16.48, 131.00, -1.25
16.51, 139.00, -1.50
16.53, 134.00, -1.58
16.55, 134.00, -1.77
16.58, 131.00, -2.06
16.60, 132.00, -2.38
16.62, 132.00, -2.66
16.64, 132.00, -2.93
16.67, 132.00, -3.12
16.69, 131.00, -3.39
16.71, 132.00, -3.54
16.74, 134.00, -3.82
16.76, 134.00, -4.01
16.78, 131.00, -4.17
16.80, 133.00, -4.33
16.83, 132.00, -4.56
16.85, 132.00, -4.70
16.87, 134.00, -4.72
16.90, 135.00, -4.74
16.92, 133.00, -4.94
16.94, 132.00, -5.05
16.96, 134.00, -5.01
16.99, 133.00, -5.00
17.01, 133.00, -5.06
17.03, 132.00, -5.14
17.06, 134.00, -5.26
17.08, 131.00, -5.36
17.10, 132.00, -5.43
17.12, 134.00, -5.33
17.15, 132.00, -5.39
17.17, 131.00, -5.56
17.19, 133.00, -5.68
17.22, 131.00, -5.73
17.24, 133.00, -5.65
17.26, 131.00, -5.66
17.28, 131.00, -5.63
17.31, 130.00, -5.91
17.33, 129.00, -6.04
17.35, 132.00, -6.07
17.38, 130.00, -6.05
17.40, 132.00, -5.99
17.42, 132.00, -5.91
17.44, 130.00, -5.91
17.47, 131.00, -5.85
17.49, 130.00, -5.79
17.51, 131.00, -5.73
17.54, 131.00, -5.73
17.56, 132.00, -5.69
17.58, 131.00, -5.57
17.60, 132.00, -5.49
17.63, 132.00, -5.36
17.65, 131.00, -5.26
17.67, 132.00, -5.20
17.70, 133.00, -5.15
17.72, 135.00, -4.93
17.74, 133.00, -4.76
17.76, 131.00, -4.72
17.79, 131.00, -4.65
17.81, 132.00, -4.54
17.83, 132.00, -4.40
17.86, 133.00, -4.28
17.88, 133.00, -4.06
17.90, 133.00, -3.87
17.92, 134.00, -3.72
17.95, 134.00, -3.49
17.97, 133.00, -3.26
17.99, 132.00, -3.14
18.02, 130.00, -3.01
18.04, 132.00, -2.89
18.06, 132.00, -2.69
18.08, 131.00, -2.53
18.11, 132.00, -2.28
18.13, 131.00, -2.04
18.15, 132.00, -1.87
18.18, 132.00, -1.62
18.20, 130.00, -1.52
18.22, 132.00, -1.35
18.25, 132.00, -1.12
18.27, 131.00, -0.95
18.29, 132.00, -0.71
18.31, 132.00, -0.51
18.34, 129.00, -0.42
18.36, 129.00, -0.36
18.38, 130.00, -0.24
18.41, 130.00, -0.16
18.43, 132.00, -0.00
18.45, 131.00, 0.15
18.47, 132.00, 0.30
18.50, 132.00, 0.41
18.52, 131.00, 0.41
18.54, 129.00, 0.40
18.56, 132.00, 0.57
18.58, 131.00, 0.71
18.60, 132.00, 0.84
18.63, 131.00, 0.93
18.65, 132.00, 1.02
18.67, 130.00, 1.03
18.69, 131.00, 1.07
18.71, 132.00, 1.11
18.74, 131.00, 1.10
18.76, 132.00, 1.16
18.78, 130.00, 1.18
18.80, 130.00, 1.27
18.82, 131.00, 1.32
18.84, 130.00, 1.33
18.87, 130.00, 1.37
18.89, 131.00, 1.40
18.91, 131.00, 1.46
18.93, 131.00, 1.48
18.95, 129.00, 1.42
18.98, 132.00, 1.54
19.00, 130.00, 1.51
19.02, 129.00, 1.44
19.04, 129.00, 1.39
19.06, 131.00, 1.38
19.08, 129.00, 1.28
19.11, 129.00, 1.30
19.13, 129.00, 1.31
19.15, 131.00, 1.36
19.17, 130.00, 1.36
19.19, 131.00, 1.33
19.22, 130.00, 1.29
19.24, 129.00, 1.17
19.26, 131.00, 1.12
19.28, 130.00, 1.07
19.30, 132.00, 1.17
19.32, 131.00, 1.12
19.35, 130.00, 1.06
19.37, 131.00, 0.99
19.39, 130.00, 0.93
19.41, 131.00, 0.86
19.43, 131.00, 0.87
19.46, 132.00, 0.87
19.48, 130.00, 0.77
19.50, 131.00, 0.73
19.52, 130.00, 0.62
19.54, 130.00, 0.59
19.57, 129.00, 0.51
19.59, 132.00, 0.51
19.61, 132.00, 0.55
19.63, 132.00, 0.58
19.65, 132.00, 0.58
19.67, 131.00, 0.54
19.70, 131.00, 0.49
19.72, 132.00, 0.57
19.74, 132.00, 0.52
19.76, 131.00, 0.51
19.78, 130.00, 0.51
19.81, 130.00, 0.51
19.83, 130.00, 0.43
19.85, 132.00, 0.50
19.87, 130.00, 0.51
19.89, 130.00, 0.50
19.91, 132.00, 0.50
19.94, 132.00, 0.54
19.96, 133.00, 0.58
19.98, 133.00, 0.65
20.00, 131.00, 0.69
20.02, 134.00, 0.77
20.05, 132.00, 0.82
20.07, 134.00, 0.86
20.09, 132.00, 0.86
20.11, 132.00, 0.91
20.13, 133.00, 0.96
20.16, 132.00, 1.00
20.18, 131.00, 0.98
20.20, 134.00, 1.07
20.22, 132.00, 1.04
20.24, 132.00, 1.09
20.26, 132.00, 1.11
20.29, 132.00, 1.17
20.31, 132.00, 1.23
20.33, 132.00, 1.32
20.35, 132.00, 1.31
