time,value,slope
12.49, 266, 0.02
12.49, 268, 0.03
12.49, 267, -0.06
12.50, 267, 0.02
12.52, 269, -0.05
12.54, 270, 0.03
12.56, 268, -0.05
12.57, 267, 0.03
12.59, 267, 0.03
12.61, 267, -0.05
12.63, 267, 0.03
12.65, 269, 0.03
12.67, 269, -0.04
12.69, 267, -0.05
12.71, 266, 0.03
12.73, 266, 0.03
12.75, 267, 0.03
12.77, 268, -0.05
12.78, 268, 0.03
12.80, 267, -0.05
12.82, 268, 0.03
12.84, 267, 0.03
12.86, 267, -0.05
12.88, 268, -0.05
12.90, 268, 0.03
12.92, 268, 0.03
12.94, 268, 0.04
12.96, 267, 0.04
12.98, 268, 0.04
12.99, 268, 0.04
13.01, 268, 0.04
13.03, 268, 0.04
13.05, 268, 0.05
13.07, 268, -0.03
13.09, 267, 0.05
13.11, 268, -0.03
13.13, 268, 0.05
13.15, 268, -0.03
13.17, 267, 0.05
13.19, 267, 0.05
13.20, 267, 0.41
13.22, 267, 0.36
13.24, 267, 0.37
13.26, 267, 0.35
13.28, 267, 0.31
13.30, 267, 0.20
13.32, 267, 0.19
13.33, 268, 0.21
13.35, 267, 0.19
13.37, 267, 0.21
13.39, 267, 0.20
13.41, 267, 0.12
13.43, 268, 0.11
13.45, 268, 0.16
13.47, 267, 0.18
13.48, 267, 0.20
13.50, 267, 0.19
13.52, 267, 0.17
13.54, 268, 0.16
13.56, 267, 0.18
13.58, 267, 0.14
13.60, 267, 0.12
13.61, 267, 0.14
13.63, 268, 0.16
13.65, 268, 0.15
13.67, 268, 0.14
13.69, 267, 0.09
13.71, 267, 0.07
13.73, 267, 0.02
13.75, 267, -0.02
13.77, 267, -0.08
13.79, 267, -0.13
13.81, 267, -0.18
13.83, 267, -0.20
13.85, 267, -0.22
13.86, 268, -0.20
13.89, 267, -0.25
13.90, 267, -0.27
13.92, 268, -0.26
13.94, 267, -0.28
13.96, 267, -0.29
13.98, 267, -0.30
14.00, 268, -0.27
14.02, 268, -0.25
14.04, 267, -0.26
14.06, 267, -0.26
14.08, 267, -0.27
14.10, 267, -0.30
14.12, 268, -0.28
14.14, 268, -0.25
14.16, 267, -0.25
14.18, 267, -0.25
14.20, 267, -0.29
14.22, 267, -0.33
14.24, 267, -0.33
14.26, 267, -0.33
14.28, 267, -0.34
14.30, 267, -0.34
14.32, 268, -0.34
14.34, 267, -0.35
14.36, 267, -0.35
14.38, 268, -0.32
14.40, 267, -0.33
14.42, 268, -0.33
14.44, 268, -0.33
14.46, 267, -0.37
14.48, 267, -0.37
14.50, 268, -0.34
14.52, 267, -0.34
14.54, 267, -0.34
14.56, 268, -0.30
14.58, 267, -0.30
14.60, 267, -0.30
14.62, 268, -0.26
14.64, 267, -0.25
14.65, 267, -0.28
14.67, 267, -0.28
14.69, 268, -0.24
14.71, 268, -0.23
14.73, 268, -0.19
14.75, 268, -0.15
14.77, 268, -0.11
14.79, 267, -0.14
14.81, 267, -0.17
14.83, 268, -0.13
14.85, 268, -0.09
14.87, 268, -0.05
14.89, 268, -0.01
14.91, 267, -0.04
14.93, 267, -0.06
14.95, 267, -0.06
14.97, 267, -0.05
14.99, 267, -0.04
15.01, 267, -0.04
15.03, 267, -0.03
15.05, 268, 0.01
15.07, 268, 0.05
15.09, 268, 0.09
15.11, 268, 0.10
15.13, 267, 0.11
15.14, 267, 0.12
15.16, 267, 0.10
15.18, 267, 0.10
15.20, 267, 0.08
15.22, 267, 0.06
15.24, 267, 0.07
15.26, 267, 0.07
15.27, 267, 0.05
15.29, 267, 0.06
15.31, 267, 0.07
15.33, 267, 0.04
15.35, 268, 0.08
15.37, 267, 0.09
15.39, 268, 0.10
15.41, 268, 0.14
15.43, 268, 0.18
15.44, 268, 0.22
15.46, 268, 0.22
15.48, 268, 0.23
15.50, 267, 0.20
15.52, 267, 0.17
15.54, 267, 0.14
15.56, 267, 0.15
15.57, 267, 0.15
15.59, 267, 0.12
15.61, 268, 0.13
15.63, 268, 0.13
15.65, 268, 0.13
15.67, 267, 0.13
15.69, 267, 0.13
15.71, 267, 0.13
15.72, 267, 0.13
15.74, 267, 0.14
15.76, 267, 0.14
15.78, 267, 0.14
15.80, 268, 0.14
15.82, 268, 0.14
15.84, 267, 0.10
15.85, 267, 0.06
15.87, 267, 0.06
15.89, 267, 0.06
15.91, 267, 0.06
15.93, 268, 0.09
15.95, 267, 0.08
15.97, 268, 0.12
15.99, 267, 0.11
16.00, 267, 0.11
16.02, 268, 0.14
16.04, 267, 0.14
16.06, 267, 0.14
16.08, 267, 0.14
16.10, 267, 0.10
16.12, 267, 0.10
16.14, 268, 0.10
16.16, 268, 0.10
16.17, 267, 0.06
16.19, 267, 0.02
16.21, 268, 0.01
16.23, 268, 0.01
16.25, 268, 0.04
16.27, 268, 0.06
16.29, 268, 0.09
16.31, 268, 0.12
16.32, 268, 0.15
16.34, 268, 0.18
16.36, 268, 0.18
16.38, 268, 0.18
16.40, 268, 0.17
16.42, 267, 0.17
16.44, 267, 0.17
16.45, 267, 0.16
16.47, 267, 0.16
16.49, 267, 0.16
16.51, 267, 0.15
16.53, 267, 0.15
16.55, 268, 0.15
16.57, 267, 0.11
16.58, 267, 0.11
16.60, 267, 0.11
16.62, 267, 0.10
16.64, 268, 0.14
16.66, 268, 0.17
16.68, 268, 0.17
16.70, 268, 0.20
16.72, 268, 0.20
16.74, 268, 0.23
16.75, 267, 0.22
16.77, 267, 0.19
16.79, 267, 0.18
16.81, 271, 0.31
16.83, 279, 0.71
16.85, 281, 1.18
16.87, 282, 1.67
16.89, 283, 2.17
16.90, 270, 2.23
16.92, 264, 2.14
16.94, 264, 2.03
16.96, 268, 2.03
16.98, 273, 2.20
17.00, 272, 2.33
17.02, 286, 2.93
17.03, 279, 3.29
17.05, 262, 3.10
17.07, 269, 3.12
17.09, 258, 2.78
17.11, 274, 2.98
17.13, 274, 3.17
17.15, 270, 3.24
17.17, 270, 3.33
17.18, 272, 3.50
17.20, 268, 3.52
17.22, 261, 3.32
17.24, 270, 3.42
17.26, 271, 3.55
17.28, 272, 3.71
17.30, 268, 3.71
17.32, 269, 3.77
17.33, 270, 3.87
17.35, 272, 4.03
17.37, 268, 4.06
17.39, 266, 4.00
17.41, 265, 3.89
17.43, 267, 3.85
17.45, 269, 3.88
17.47, 270, 3.94
17.48, 271, 4.03
17.50, 270, 4.13
17.52, 265, 4.06
17.54, 264, 3.95
17.56, 264, 3.71
17.58, 267, 3.30
17.60, 270, 2.90
17.61, 270, 2.45
17.63, 269, 1.93
17.65, 268, 1.81
17.67, 265, 1.79
17.69, 265, 1.77
17.71, 266, 1.66
17.73, 269, 1.47
17.75, 269, 1.31
17.76, 269, 0.67
17.78, 268, 0.22
17.80, 268, 0.34
17.82, 268, 0.23
17.84, 268, 0.49
17.86, 268, 0.22
17.88, 268, -0.06
17.90, 268, -0.21
17.92, 270, -0.29
17.94, 270, -0.44
17.96, 268, -0.53
17.98, 267, -0.41
18.00, 266, -0.63
18.02, 267, -0.85
18.03, 268, -1.07
18.06, 269, -1.13
18.07, 269, -1.22
18.09, 269, -1.35
18.11, 268, -1.58
18.13, 267, -1.71
18.15, 267, -1.77
18.17, 269, -1.73
18.19, 269, -1.76
18.21, 269, -1.85
18.23, 269, -1.97
18.25, 268, -2.17
18.27, 267, -2.37
18.29, 267, -2.39
18.31, 267, -2.39
18.33, 267, -2.38
18.35, 268, -2.42
18.37, 268, -2.55
18.39, 269, -2.64
18.41, 267, -2.75
18.43, 268, -2.79
18.45, 268, -2.73
18.47, 268, -2.68
18.49, 268, -2.65
18.51, 268, -2.71
18.53, 269, -2.74
18.55, 269, -2.75
18.57, 267, -2.78
18.59, 268, -2.79
18.61, 268, -2.79
18.63, 268, -2.80
18.65, 280, -2.42
18.67, 290, -1.72
18.69, 283, -1.24
18.71, 281, -0.89
18.73, 283, -0.46
18.75, 283, 0.02
18.76, 269, 0.10
18.78, 265, 0.08
18.80, 266, 0.07
18.82, 275, 0.32
18.84, 281, 0.73
18.86, 291, 1.46
18.88, 288, 2.10
18.90, 285, 2.68
18.92, 283, 3.24
18.93, 282, 3.77
18.95, 282, 4.23
18.97, 282, 4.70
18.99, 281, 5.14
19.01, 289, 5.84
19.03, 288, 6.54
19.05, 283, 7.13
19.06, 278, 7.56
19.08, 281, 8.08
19.10, 284, 8.70
19.12, 276, 9.04
19.14, 284, 9.64
19.16, 283, 10.16
19.18, 287, 10.90
19.20, 285, 11.52
19.22, 284, 12.10
19.24, 282, 12.62
19.26, 277, 13.00
19.28, 277, 13.34
19.30, 288, 14.03
19.32, 286, 14.67
19.34, 291, 15.53
19.36, 291, 16.33
19.38, 287, 17.02
19.40, 284, 17.63
19.42, 281, 17.70
19.43, 280, 17.42
19.45, 287, 17.63
19.48, 290, 17.90
19.49, 293, 18.24
19.51, 293, 18.59
19.53, 290, 19.24
19.55, 286, 19.87
19.57, 288, 20.56
19.59, 276, 20.58
19.61, 283, 20.58
19.63, 283, 20.25
19.65, 290, 20.27
19.67, 291, 20.34
19.69, 295, 20.62
19.71, 290, 20.73
19.73, 289, 20.87
19.75, 286, 20.83
19.77, 285, 20.80
19.79, 290, 20.69
19.81, 286, 20.39
19.83, 283, 20.21
19.85, 282, 20.10
19.87, 283, 19.99
19.89, 291, 19.92
19.91, 300, 20.47
19.93, 291, 20.40
19.95, 289, 20.34
19.97, 291, 20.18
19.99, 287, 19.96
20.01, 289, 19.85
20.03, 293, 19.87
20.05, 288, 19.93
20.07, 289, 19.98
20.09, 284, 19.52
20.11, 284, 19.07
20.13, 280, 18.37
20.15, 280, 17.60
20.17, 284, 17.12
20.19, 280, 16.54
20.20, 285, 16.28
20.23, 286, 16.01
20.25, 285, 15.52
20.26, 282, 14.87
20.28, 279, 13.94
20.30, 281, 13.13
20.32, 286, 12.52
20.34, 285, 12.02
20.36, 279, 11.22
20.38, 269, 10.51
20.40, 281, 9.94
20.42, 283, 9.46
20.44, 283, 8.74
20.46, 286, 8.10
20.48, 283, 7.22
20.50, 281, 6.43
20.51, 281, 5.67
20.53, 281, 4.99
20.55, 283, 4.42
20.57, 288, 3.84
20.59, 287, 3.37
20.61, 285, 2.92
20.63, 276, 2.23
20.65, 281, 1.66
20.67, 280, 0.81
20.68, 284, -0.23
20.70, 277, -1.20
20.72, 282, -1.95
20.74, 286, -2.62
20.76, 285, -3.20
20.78, 289, -3.70
20.80, 289, -4.34
20.82, 289, -4.81
20.84, 288, -5.36
20.86, 282, -5.92
20.88, 285, -6.37
20.90, 277, -6.94
20.92, 280, -7.40
20.94, 287, -7.73
20.96, 287, -7.92
20.98, 281, -8.46
21.00, 277, -9.18
21.02, 279, -9.75
21.04, 281, -10.15
21.06, 277, -10.58
21.08, 279, -10.94
21.10, 283, -11.36
21.12, 280, -11.81
21.14, 279, -12.08
21.17, 282, -11.89
21.18, 282, -12.11
21.21, 282, -12.34
21.23, 284, -12.51
21.25, 287, -12.63
21.27, 287, -12.67
21.29, 288, -12.57
21.31, 285, -12.54
21.33, 282, -12.62
21.35, 284, -12.65
21.37, 287, -12.76
21.39, 286, -12.82
21.41, 279, -13.06
21.43, 280, -12.94
21.45, 283, -12.89
21.48, 281, -12.83
21.50, 283, -12.84
21.52, 285, -12.55
21.54, 286, -12.35
21.56, 287, -12.26
21.58, 286, -12.14
21.60, 289, -12.03
21.62, 283, -12.08
21.64, 281, -12.21
21.66, 285, -12.16
21.68, 284, -11.92
21.70, 282, -11.88
21.73, 283, -11.50
21.75, 288, -11.07
21.77, 291, -10.76
21.79, 290, -10.48
21.81, 286, -10.10
21.83, 288, -9.55
21.85, 285, -9.14
21.87, 285, -8.80
21.89, 285, -8.30
21.91, 285, -7.89
21.93, 283, -7.63
21.95, 286, -7.17
21.97, 282, -6.81
21.99, 282, -6.54
22.01, 282, -6.25
22.03, 286, -5.85
22.05, 287, -5.46
22.07, 281, -5.35
22.09, 283, -5.17
22.11, 283, -5.02
22.13, 286, -4.70
22.15, 289, -4.17
22.17, 288, -3.75
22.18, 285, -3.50
22.21, 285, -3.22
22.23, 283, -2.78
22.25, 286, -2.27
22.26, 288, -1.80
22.28, 287, -1.29
22.30, 287, -0.85
22.32, 285, -0.53
22.34, 285, -0.25
22.36, 284, -0.03
22.38, 283, 0.18
22.40, 286, 0.39
22.42, 286, 0.80
