time,value,slope
24.94, 286, 0.03
24.94, 287, -0.01
24.94, 287, -0.01
24.94, 287, 0.04
24.96, 287, 0.04
24.98, 285, 0.04
25.00, 286, 0.05
25.02, 286, 0.01
25.04, 287, 0.01
25.06, 287, 0.01
25.07, 287, 0.06
25.09, 286, 0.02
25.11, 285, 0.02
25.13, 285, 0.02
25.15, 286, 0.06
25.17, 287, 0.03
25.19, 287, 0.07
25.20, 287, 0.08
25.22, 286, 0.04
25.24, 285, 0.04
25.26, 286, 0.04
25.28, 286, 0.04
25.30, 287, 0.05
25.32, 287, 0.05
25.33, 286, 0.05
25.35, 287, 0.09
25.37, 286, 0.06
25.39, 286, 0.06
25.41, 286, 0.10
25.43, 287, 0.06
25.45, 288, 0.11
25.47, 287, 0.11
25.49, 285, 0.07
25.50, 285, 0.08
25.52, 285, 0.12
25.54, 287, 0.08
25.56, 287, 0.08
25.58, 287, 0.09
25.60, 286, 0.13
25.62, 286, 0.13
25.64, 286, 3.88
25.65, 286, 3.76
25.67, 286, 3.64
25.69, 287, 3.53
25.71, 287, 3.50
25.73, 285, 3.46
25.75, 286, 3.42
25.76, 286, 3.42
25.78, 286, 3.37
25.80, 287, 3.37
25.82, 287, 3.31
25.84, 286, 3.30
25.86, 286, 3.31
25.88, 286, 3.33
25.90, 285, 3.25
25.92, 286, 3.18
25.93, 287, 3.13
25.95, 286, 3.03
25.97, 286, 3.00
25.99, 286, 3.00
26.01, 286, 2.97
26.03, 287, 2.96
26.05, 286, 2.88
26.07, 287, 2.85
26.08, 287, 2.84
26.10, 287, 2.76
26.12, 285, 2.68
26.14, 285, 2.60
26.16, 286, 2.51
26.18, 286, 2.42
26.20, 287, 2.30
26.22, 287, 2.20
26.23, 286, 2.17
26.25, 286, 2.14
26.27, 286, 2.08
26.29, 286, 1.98
26.31, 287, 1.91
26.33, 287, 1.83
26.35, 287, 1.76
26.36, 286, 1.65
26.38, 286, 1.56
26.40, 285, 1.44
26.42, 285, 1.31
26.44, 287, 1.22
26.46, 287, 1.14
26.48, 286, 1.08
26.50, 286, 1.00
26.51, 285, 0.88
26.53, 286, 0.80
26.55, 286, 0.68
26.57, 286, 0.56
26.59, 287, 0.51
26.61, 287, 0.46
26.63, 287, 0.41
26.65, 286, 0.36
26.66, 286, 0.29
26.68, 285, 0.14
26.70, 286, 0.06
26.72, 287, 0.02
26.74, 287, -0.02
26.76, 286, -0.09
26.78, 285, -0.23
26.80, 286, -0.30
26.82, 286, -0.41
26.84, 287, -0.48
26.86, 287, -0.55
26.88, 286, -0.58
26.90, 286, -0.61
26.92, 286, -0.67
26.94, 286, -0.73
26.96, 286, -0.82
26.98, 286, -0.90
27.00, 287, -0.92
27.02, 286, -0.97
27.04, 286, -1.02
27.06, 286, -1.07
27.08, 286, -1.15
27.09, 286, -1.22
27.11, 287, -1.26
27.13, 287, -1.27
27.15, 286, -1.31
27.17, 287, -1.27
27.19, 286, -1.27
27.21, 286, -1.33
27.23, 286, -1.39
27.25, 286, -1.42
27.27, 286, -1.44
27.29, 286, -1.43
27.31, 286, -1.44
27.33, 286, -1.46
27.35, 286, -1.47
27.37, 286, -1.51
27.39, 287, -1.52
27.41, 287, -1.53
27.43, 286, -1.54
27.45, 285, -1.57
27.47, 286, -1.54
27.49, 286, -1.54
27.51, 287, -1.54
27.53, 287, -1.53
27.55, 286, -1.53
27.57, 286, -1.49
27.59, 285, -1.52
27.61, 286, -1.51
27.63, 286, -1.53
27.65, 287, -1.52
27.67, 287, -1.47
27.69, 286, -1.46
27.71, 286, -1.44
27.73, 286, -1.42
27.75, 286, -1.40
27.77, 287, -1.35
27.79, 287, -1.33
27.81, 287, -1.27
27.83, 286, -1.25
27.85, 285, -1.26
27.87, 286, -1.23
27.89, 287, -1.17
27.91, 287, -1.13
27.92, 287, -1.10
27.94, 286, -1.07
27.97, 286, -1.07
27.98, 285, -1.07
28.00, 286, -1.04
28.02, 287, -0.98
28.04, 287, -0.91
28.06, 286, -0.87
28.08, 285, -0.87
28.10, 286, -0.83
28.12, 286, -0.80
28.14, 286, -0.76
28.16, 287, -0.69
28.18, 287, -0.66
28.20, 286, -0.65
28.22, 285, -0.64
28.24, 286, -0.57
28.26, 286, -0.53
28.28, 287, -0.46
28.30, 286, -0.46
28.32, 286, -0.45
28.34, 286, -0.41
28.36, 286, -0.37
28.38, 286, -0.30
28.40, 286, -0.27
28.42, 286, -0.23
28.44, 287, -0.19
28.46, 286, -0.19
28.48, 286, -0.15
28.50, 285, -0.14
28.52, 286, -0.11
28.54, 286, -0.07
28.56, 287, -0.04
28.58, 286, -0.04
28.60, 286, -0.04
28.62, 285, -0.04
28.64, 286, 0.02
28.66, 285, 0.02
28.67, 286, 0.02
28.69, 287, 0.05
28.71, 287, 0.08
28.73, 286, 0.10
28.75, 285, 0.10
28.77, 286, 0.16
28.79, 286, 0.19
28.81, 287, 0.21
28.82, 286, 0.20
28.84, 286, 0.22
28.86, 286, 0.28
28.88, 286, 0.30
28.90, 286, 0.32
28.92, 286, 0.34
28.94, 287, 0.36
28.95, 286, 0.34
28.97, 286, 0.36
28.99, 285, 0.38
29.01, 286, 0.39
29.03, 286, 0.41
29.05, 286, 0.39
29.07, 287, 0.43
29.08, 287, 0.48
29.10, 286, 0.49
29.12, 285, 0.46
29.14, 286, 0.47
29.16, 285, 0.45
29.18, 286, 0.46
29.20, 287, 0.46
29.22, 287, 0.50
29.24, 286, 0.50
29.25, 286, 0.54
29.27, 286, 0.54
29.29, 286, 0.55
29.31, 286, 0.52
29.33, 286, 0.52
29.35, 286, 0.52
29.37, 286, 0.55
29.39, 286, 0.56
29.40, 287, 0.62
29.42, 287, 0.65
29.44, 286, 0.62
29.46, 286, 0.58
29.48, 287, 0.62
29.50, 287, 0.68
29.52, 286, 0.68
29.53, 286, 0.67
29.55, 286, 0.63
29.57, 287, 0.66
29.59, 286, 0.65
29.61, 286, 0.65
29.63, 285, 0.60
29.65, 286, 0.60
29.67, 286, 0.59
29.68, 287, 0.58
29.70, 286, 0.57
29.72, 286, 0.56
29.74, 286, 0.58
29.76, 286, 0.57
29.78, 286, 0.56
29.80, 287, 0.59
29.82, 287, 0.58
29.83, 286, 0.53
29.85, 286, 0.52
29.87, 286, 0.54
29.89, 286, 0.53
29.91, 286, 0.55
29.93, 287, 0.57
29.95, 287, 0.56
29.97, 286, 0.51
29.98, 285, 0.47
30.00, 286, 0.45
30.02, 286, 0.44
30.04, 287, 0.46
30.06, 287, 0.48
30.08, 287, 0.50
30.10, 285, 0.45
30.11, 285, 0.41
30.13, 286, 0.39
30.15, 286, 0.34
30.17, 287, 0.33
30.19, 287, 0.35
30.21, 285, 0.30
30.23, 285, 0.21
30.25, 286, 0.16
30.26, 285, 0.11
30.28, 286, 0.10
30.30, 286, 0.08
30.32, 286, 0.03
30.34, 286, 0.02
30.36, 285, -0.03
30.38, 286, -0.02
30.40, 285, -0.06
30.42, 285, -0.11
30.44, 286, -0.16
30.46, 286, -0.17
30.48, 285, -0.22
30.50, 285, -0.27
30.52, 285, -0.31
30.54, 286, -0.33
30.56, 286, -0.37
30.58, 286, -0.42
30.60, 285, -0.47
30.61, 284, -0.54
30.64, 286, -0.56
30.66, 287, -0.53
30.67, 285, -0.58
30.69, 285, -0.66
30.71, 286, -0.70
30.73, 286, -0.72
30.75, 285, -0.73
30.77, 285, -0.77
30.79, 285, -0.81
30.81, 286, -0.85
30.83, 286, -0.90
30.85, 286, -0.94
30.87, 286, -0.92
30.89, 286, -0.89
30.91, 285, -0.93
30.93, 285, -0.97
30.95, 286, -1.01
30.97, 286, -1.05
30.99, 286, -1.02
31.01, 286, -1.00
31.03, 286, -1.00
31.05, 286, -0.97
31.07, 285, -1.00
31.09, 286, -1.00
31.11, 285, -1.03
31.13, 286, -1.03
31.15, 286, -1.00
31.17, 285, -1.03
31.19, 284, -1.06
31.21, 285, -1.06
31.23, 286, -1.05
31.25, 287, -1.02
31.27, 286, -0.98
31.29, 285, -0.97
31.31, 285, -0.97
31.33, 285, -0.99
31.35, 286, -0.98
31.37, 286, -0.97
31.39, 285, -0.96
31.41, 285, -0.91
31.43, 286, -0.90
31.45, 286, -0.92
31.47, 286, -0.87
31.48, 285, -0.86
31.50, 285, -0.87
31.52, 286, -0.86
31.54, 286, -0.81
31.56, 286, -0.76
31.58, 285, -0.74
31.60, 285, -0.75
31.62, 286, -0.73
31.64, 286, -0.70
31.66, 286, -0.68
31.68, 285, -0.69
31.70, 285, -0.67
31.72, 285, -0.64
31.74, 286, -0.62
31.76, 285, -0.62
31.78, 286, -0.60
31.80, 285, -0.60
31.82, 286, -0.58
31.84, 286, -0.56
31.86, 286, -0.50
31.88, 286, -0.47
31.90, 285, -0.45
31.92, 286, -0.42
31.94, 285, -0.43
31.96, 286, -0.37
31.98, 285, -0.31
32.00, 285, -0.29
32.02, 286, -0.26
32.04, 286, -0.27
32.06, 286, -0.24
32.08, 285, -0.22
32.10, 285, -0.19
32.12, 286, -0.14
32.14, 286, -0.11
32.16, 286, -0.09
32.18, 286, -0.03
32.20, 286, 0.02
32.22, 286, 0.04
32.23, 285, 0.03
32.25, 285, 0.03
32.27, 285, 0.05
32.29, 286, 0.10
32.31, 286, 0.12
32.33, 286, 0.14
32.35, 286, 0.16
32.37, 286, 0.21
32.38, 285, 0.23
32.40, 286, 0.25
32.42, 286, 0.27
32.44, 286, 0.29
32.46, 285, 0.30
32.48, 286, 0.35
32.50, 285, 0.37
32.51, 285, 0.35
32.53, 286, 0.40
32.55, 286, 0.42
32.57, 285, 0.44
32.59, 285, 0.42
32.61, 285, 0.40
32.63, 286, 0.41
32.65, 285, 0.39
32.66, 286, 0.44
32.68, 285, 0.42
32.70, 286, 0.46
32.72, 285, 0.44
32.74, 286, 0.48
32.76, 285, 0.49
32.78, 285, 0.46
32.79, 286, 0.47
32.81, 286, 0.48
32.83, 286, 0.52
32.85, 285, 0.53
32.87, 286, 0.53
32.89, 286, 0.53
32.91, 286, 0.53
32.93, 285, 0.50
32.94, 286, 0.50
32.96, 285, 0.47
32.98, 286, 0.50
33.00, 285, 0.50
33.02, 286, 0.53
33.04, 285, 0.50
33.06, 286, 0.49
33.08, 286, 0.49
33.10, 286, 0.49
33.11, 286, 0.48
33.13, 285, 0.48
33.15, 286, 0.47
33.17, 286, 0.46
33.19, 286, 0.45
33.21, 285, 0.45
33.23, 286, 0.44
33.24, 286, 0.46
33.26, 285, 0.45
33.28, 285, 0.41
33.30, 285, 0.36
33.32, 286, 0.39
33.34, 286, 0.41
33.36, 285, 0.40
33.38, 286, 0.39
33.39, 286, 0.41
33.41, 286, 0.40
33.43, 285, 0.39
33.45, 286, 0.38
33.47, 286, 0.40
33.49, 286, 0.39
33.51, 286, 0.41
33.53, 285, 0.40
33.54, 286, 0.38
33.56, 285, 0.34
33.58, 286, 0.33
33.60, 286, 0.35
33.62, 286, 0.33
33.64, 286, 0.32
33.66, 285, 0.27
33.67, 285, 0.26
33.69, 285, 0.21
33.71, 286, 0.24
33.73, 286, 0.22
33.75, 286, 0.24
33.77, 286, 0.23
33.79, 285, 0.22
33.81, 286, 0.21
33.83, 285, 0.16
33.84, 286, 0.15
33.86, 286, 0.14
33.88, 286, 0.16
33.90, 286, 0.15
33.92, 285, 0.10
33.94, 285, 0.06
33.96, 285, 0.04
33.97, 286, 0.03
33.99, 286, 0.02
34.01, 286, 0.04
34.03, 285, 0.03
34.05, 285, 0.03
34.07, 285, -0.02
34.09, 286, -0.03
34.11, 286, -0.00
34.13, 285, -0.05
34.15, 285, -0.09
34.17, 286, -0.10
34.19, 286, -0.08
34.21, 285, -0.12
34.23, 286, -0.13
34.25, 286, -0.14
34.27, 286, -0.15
34.28, 286, -0.12
34.31, 285, -0.17
34.33, 286, -0.14
34.34, 285, -0.18
34.37, 285, -0.22
34.38, 285, -0.26
