time,reading
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,12
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,11
57,11
58,11
59,11
60,11
61,11
62,11
63,11
64,11
65,11
66,11
67,11
68,11
69,11
70,10
71,11
72,11
73,11
74,11
75,10
76,10
77,11
78,11
79,10
80,11
81,11
82,11
83,11
84,11
85,11
86,11
87,11
88,11
89,11
90,346
91,520
92,535
93,594
94,655
95,684
96,290
97,262
98,246
99,240
100,239
101,230
102,219
103,210
104,212
105,201
106,135
107,39
108,41
109,30
110,33
111,19
112,19
113,22
114,27
115,32
116,41
117,45
118,57
119,56
120,42
121,40
122,39
123,38
124,37
125,32
126,42
127,48
128,49
129,49
130,48
131,39
132,37
133,47
134,58
135,51
136,47
137,47
138,48
139,57
140,51
141,49
142,48
143,49
144,52
145,49
146,49
147,48
148,48
149,47
150,48
151,47
152,47
153,47
154,47
155,48
156,49
157,49
158,47
159,48
160,47
161,49
162,49
163,49
164,49
165,48
166,59
167,50
168,48
169,47
170,48
171,54
172,49
173,49
174,48
175,48
176,49
177,48
178,48
179,48
180,48
181,48
182,48
183,48
184,47
185,48
186,47
187,48
188,48
189,48
190,48
191,48
192,47
193,48
194,47
195,48
196,48
197,48
198,47
199,47
200,48
201,49
202,47
203,48
204,48
205,47
206,47
207,49
208,54
209,46
210,47
211,58
212,50
213,55
214,47
215,48
216,46
217,48
218,47
219,48
220,53
221,49
222,50
223,48
224,49
225,48
226,48
227,47
228,47
229,49
230,49
231,49
232,48
233,48
234,48
235,53
236,48
237,47
238,49
239,47
240,47
241,48
242,48
243,45
244,47
245,47
246,48
247,53
248,48
249,47
250,45
251,46
252,47
253,47
254,46
255,45
256,46
257,46
258,48
259,46
260,46
261,46
262,46
263,47
264,47
265,48
266,47
267,49
268,50
269,50
270,56
271,60
272,67
273,70
274,94
275,104
276,58
277,54
278,58
279,49
280,44
281,43
282,44
283,46
284,46
285,45
286,46
287,47
288,45
289,45
290,44
291,43
292,45
293,44
294,44
295,44
296,44
297,44
298,43
299,44
300,44
301,44
302,44
303,43
304,232
305,283
306,503
307,617
308,695
309,790
310,855
311,880
312,904
313,928
314,940
315,949
316,953
317,960
318,964
319,967
320,970
321,972
322,973
323,975
324,977
325,977
326,979
327,980
328,981
329,982
330,982
331,982
332,982
333,979
334,974
335,967
336,954
337,946
338,942
339,942
340,937
341,927
342,912
343,899
344,887
345,878
346,866
347,847
348,829
349,811
350,788
351,775
352,761
353,747
354,726
355,716
356,698
357,678
358,662
359,653
360,640
361,633
362,619
363,605
364,589
365,580
366,574
367,564
368,551
369,540
370,528
371,519
372,511
373,505
374,499
375,493
376,487
377,482
378,476
379,467
380,458
381,450
382,446
383,441
384,438
385,434
386,433
387,429
388,424
389,418
390,412
391,407
392,405
393,401
394,395
395,389
396,385
397,381
398,379
399,377
400,375
401,372
402,372
403,370
404,369
405,366
406,364
407,360
