,192
1504,192
1514,193
1524,193
1534,193
1545,193
1555,192
1566,192
1576,192
1587,193
1597,193
1607,193
1617,193
1628,191
1639,192
1649,192
1659,193
1670,194
1680,194
1690,192
1701,190
1712,191
1722,192
1732,195
1742,195
1753,194
1764,192
1774,190
1784,190
1795,191
1805,194
1815,195
1825,194
1837,193
1847,191
1857,191
1867,192
1878,192
1888,193
1899,193
1909,192
1920,192
1930,192
1940,193
1950,194
1960,193
1972,192
1982,192
1992,192
2002,192
2013,194
2023,194
2034,194
2044,193
2055,191
2065,191
2075,192
2085,192
2097,194
2107,194
2117,193
2127,192
2138,192
2148,192
2158,192
2169,193
2180,193
2190,193
2200,192
2210,192
2221,192
2232,192
2242,193
2252,193
2263,193
2273,193
2283,192
2293,192
2305,193
2315,193
2325,193
2335,193
2345,192
2356,192
2367,192
2377,192
2387,192
2398,193
2408,193
2418,193
2429,193
2440,192
2450,192
2460,192
2470,193
2481,193
2491,193
2502,192
2512,192
2523,193
2533,193
2543,193
2553,193
2565,192
2575,192
2585,192
2595,193
2606,193
2616,193
2626,192
2637,192
2648,192
2658,192
2668,192
2678,193
2689,193
2700,193
2710,192
2720,192
2731,192
2741,192
2751,192
2762,193
2772,193
2783,193
2793,192
2803,192
2813,193
2824,193
2835,192
2845,192
2855,192
2866,192
2876,192
2886,193
2897,193
2908,192
2918,192
2928,192
2938,192
2949,192
2959,193
2970,193
2980,193
2991,192
3001,192
3011,192
3021,193
3033,193
3043,193
3053,192
3063,192
3074,192
3084,192
3095,193
3105,193
3116,193
3126,193
3136,192
3146,192
3156,192
3168,192
3178,193
3188,193
3198,193
3209,192
3219,192
3230,192
3240,192
3251,193
3261,193
3271,193
3281,192
3292,192
3303,192
3313,192
3323,192
3334,192
3344,193
3354,193
3365,192
3376,192
3386,192
3396,193
3406,192
3417,192
3428,192
3438,192
3448,192
3459,192
3469,193
3479,193
3489,192
3501,192
3511,191
3521,192
3531,192
3542,193
3552,193
3563,193
3573,192
3584,192
3594,192
3604,192
3614,192
3624,192
3636,193
3646,193
3656,193
3666,192
3677,192
3687,192
3698,192
3708,192
3719,192
3729,193
3739,193
3749,192
3761,192
3771,192
3781,192
3791,192
3802,192
3812,193
3822,193
3833,193
3844,192
3854,192
3864,192
3874,192
3885,192
3896,192
3906,192
3916,192
3927,193
3937,193
3947,192
3957,192
3969,192
3979,192
3989,192
3999,192
4009,192
4020,192
4031,192
4041,192
4051,192
4062,192
4072,192
4082,192
4093,192
4104,192
4114,192
4124,192
4134,192
4145,192
4155,192
4166,192
4176,192
4187,192
4197,192
4207,192
4217,192
4229,192
4239,192
4249,192
4259,192
4270,192
4280,192
4290,192
4301,192
4312,192
4322,192
4332,192
4342,192
4353,192
4364,192
4374,192
4384,192
4395,192
4405,192
4415,192
4426,192
4436,192
4447,192
4457,192
4467,192
4477,192
4488,192
4499,192
4509,192
4519,192
4530,192
4540,192
4550,192
4561,192
4572,192
4582,192
4592,192
4602,192
4613,192
4623,192
4634,192
4644,192
4655,192
4665,192
4675,192
4685,192
4697,192
4707,192
4717,192
4727,192
4738,192
4748,192
4759,192
4769,192
4780,192
4790,192
4800,192
4810,192
4820,192
4832,192
4842,192
4852,192
4862,192
4873,192
4883,192
4894,192
4904,192
4915,192
4925,192
4935,192
4945,192
4956,192
4967,192
4977,192
4987,192
4998,192
5008,192
5018,192
5029,192
5040,192
5050,192
5060,192
5070,192
5081,192
5092,192
5102,192
5112,192
5123,192
5133,192
5143,192
5153,192
5165,192
5175,192
5185,192
5195,192
5206,192
5216,192
5227,192
5237,192
5248,192
5258,192
5268,192
5278,192
5288,192
5300,192
5310,192
5320,192
5330,192
5341,192
5351,192
5362,192
5372,192
5383,192
5393,192
5403,192
5413,192
5425,192
5435,192
5445,192
5455,192
5466,192
5476,192
5486,192
5497,192
5508,192
5518,192
5528,192
5538,192
5549,192
5560,192
5570,192
5580,191
5591,192
5601,191
5611,191
5621,192
5633,192
5643,192
5653,191
5663,191
5673,191
5684,191
5695,191
5705,191
5715,190
5726,190
5736,189
5746,190
5757,190
5768,191
5778,190
5788,190
5798,190
5809,190
5819,190
5830,190
5840,191
5851,191
5861,191
5871,191
5881,191
5893,191
5903,192
5913,192
5923,192
5934,192
5944,192
5954,192
5965,191
5976,191
5986,191
5996,191
6006,192
6017,192
6028,191
6038,190
6048,191
6059,191
6069,191
6079,190
6090,189
6100,188
6111,187
6121,187
6131,188
6141,186
6152,186
6163,189
6173,188
6183,187
6194,186
6204,184
6214,185
6225,186
6236,187
6246,186
6256,185
6266,186
6277,185
6287,184
6298,183
6308,185
6319,185
6329,186
6339,186
6349,185
6361,184
6371,184
6381,184
6391,184
6402,184
6412,262
6423,437
6433,441
6444,340
6454,364
6464,333
6474,481
6484,499
6496,421
6506,444
6516,488
6526,410
6537,321
6547,335
6558,507
6568,476
6579,551
6589,614
6599,680
6609,699
6620,676
6631,624
6641,607
6651,602
6662,712
6672,738
6682,741
6693,754
6704,738
6714,738
6724,766
6734,715
6745,684
6756,699
6766,732
6776,749
6787,726
6797,729
6807,736
6817,734
6829,696
6839,672
6849,692
6859,685
6870,718
Peak time: 6880, Peak avg: 718, Highest avg: 710
6932,812
6942,825
6952,841
